# Flux, Flux Uncertainty, Sky Flux
3.282178306309074355e-11,3.721729477317181934e-12,-3.750384124261840236e-12
3.322274487371354497e-11,2.670007374133304498e-12,-2.097394207238360892e-12
3.294939489492543720e-11,4.985527458907487363e-12,8.715673091305636991e-12
3.281756248821020240e-11,2.863824968047799643e-12,-9.790193651134531116e-12
3.300926489368095066e-11,1.108730263907062911e-12,-1.625881145453727094e-11
3.341116623791825526e-11,1.067512372734871229e-12,-8.687131706812382991e-12
3.345271867938726711e-11,1.708053444034616113e-12,-1.411040476377546329e-11
3.264444828996365823e-11,3.212290151496306744e-13,-4.587576815826197756e-12
3.198448100713156756e-11,1.420499852842501939e-12,-1.275498271446141789e-11
3.187794173688792065e-11,1.340782564079080452e-12,-1.407823313481609424e-11
3.194198624062108002e-11,1.237824778296841423e-12,-1.110144760630266506e-11
3.239350311581444631e-11,1.577669144967520390e-12,-1.379564358132645990e-11
3.215148909124425145e-11,9.331960585443627874e-13,-8.169620211116722381e-12
3.248622918386801042e-11,1.321834298573125249e-12,-1.017044480140675833e-11
3.229888829541601278e-11,2.170051953393602513e-12,-1.078444315767909713e-11
3.143865173583349373e-11,1.335504913183073797e-12,-1.023631296828554246e-11
3.170424208289843566e-11,1.240005899087787543e-12,-1.001861246870518227e-11
3.233144919258808313e-11,1.196637182276939709e-12,-8.872504257428314988e-12
3.178086110859895139e-11,1.145909001629481728e-12,-7.625973718047377514e-12
3.146005925484959909e-11,1.223588768651036337e-12,-8.021878617246890804e-12
3.125854304570849767e-11,8.246009490623138165e-13,-4.990499122657102287e-12
3.064855796931117930e-11,1.214851804416895315e-12,-5.182005556743462621e-12
3.012118922267449719e-11,1.200369652733948715e-12,-4.866662421420326595e-12
3.043130805927703978e-11,1.377649608624407879e-12,-5.098254569716829968e-12
3.087904743916916072e-11,1.260860060959489379e-12,-3.954197798767628313e-12
3.064007843823994289e-11,1.312788236197960459e-12,-3.763041666986285379e-12
2.964022890593299836e-11,1.245963882747460343e-12,-3.879603665397695921e-12
2.919326556778175736e-11,1.170417224955615973e-12,-3.018749837190950443e-12
2.950447035413112617e-11,1.223136970300102786e-12,-3.138742420733695831e-12
2.969111519849023429e-11,1.291162508217562134e-12,-3.323230304143993457e-12
3.039477303263410427e-11,1.165853221827713852e-12,-3.643195270329878984e-12
3.093267522617466018e-11,1.127900349456027642e-12,-3.246319836192461057e-12
3.508335000105129319e-11,1.222751590188367811e-12,-4.495677047387892467e-12
3.541088206454864066e-11,1.167534048446896597e-12,-3.730107878798451068e-12
3.548634064816339166e-11,1.191737847464387187e-12,-4.545797063119905426e-12
3.558235911518784035e-11,1.142448977760112941e-12,-3.766717056233410390e-12
3.582289444637868808e-11,1.257533073993771289e-12,-4.275864126837627650e-12
3.587957650548686437e-11,1.321345690948635076e-12,-2.809446483797825034e-12
3.594254309403304078e-11,1.159060345244397205e-12,-3.611250926982461238e-12
3.599830715784671798e-11,1.220499548625998317e-12,-4.100886076322618243e-12
3.574453228252721823e-11,1.337056622686299723e-12,-3.610862774427271343e-12
3.553083579095952669e-11,1.105519407041875368e-12,-3.321616448731399490e-12
3.562704430212427139e-11,1.161062007783309370e-12,-4.530314636293940537e-12
3.601458917720993968e-11,1.126673203648786895e-12,-4.238321576346799640e-12
3.625827509498332616e-11,1.059033580002297030e-12,-3.243009167530331534e-12
3.637441494854390073e-11,1.053725795631445921e-12,-2.966319037973726575e-12
3.626812137280978078e-11,1.087239463670928898e-12,-3.043568624841357562e-12
3.575560320767094611e-11,1.050578099521250304e-12,-2.541036490579663130e-12
3.514415820772829408e-11,7.516093693175223421e-13,-3.288256173947335707e-12
3.448970106123000003e-11,9.838115666429988413e-13,-1.908982870275237494e-12
3.394109766110214020e-11,9.458693784274680341e-13,-1.861593073246084382e-12
3.371971469372531261e-11,9.571210838542637379e-13,-1.914939929141679871e-12
3.361963375512710408e-11,9.154741930583260851e-13,-1.942082637697049980e-12
3.353044715886130877e-11,9.203879669374401978e-13,-1.670132983637646112e-12
3.339668227408683857e-11,8.464249588376692270e-13,-1.800618241709333162e-12
3.323516046577936459e-11,8.408481509723534748e-13,-1.540875003484493822e-12
3.307908929718244003e-11,8.334890320718586281e-13,-1.637434721359474042e-12
3.291170641855878787e-11,8.184767685217721800e-13,-1.876423710870169767e-12
3.260916432626431248e-11,7.587441491250125776e-13,-1.968120380255107626e-12
3.196570329271802381e-11,8.176194340878285593e-13,-1.277710933906034687e-12
3.158559983892928827e-11,7.638127460234788751e-13,-1.077819027232950020e-12
3.163692197928945289e-11,6.664168888104834253e-13,-1.598534875607445457e-12
3.178816713514761447e-11,7.492923507248972605e-13,-1.300476442359216257e-12
3.186968385692670601e-11,7.437002676784624446e-13,-1.427579790888028735e-12
3.195275328157574075e-11,7.198285179014177315e-13,-1.084296168661542913e-12
3.203185721016427015e-11,7.245260041038208917e-13,-1.286389324862835591e-12
3.184111078565929077e-11,7.091087996676481887e-13,-1.169905466482691095e-12
3.170377330723705630e-11,7.086135557862308496e-13,-1.023968356030847209e-12
3.150166628343999609e-11,6.902990220626657309e-13,-9.484909318817372439e-13
3.130048555192464441e-11,6.806754169196863560e-13,-8.373813971436846722e-13
3.108150138511525160e-11,6.509583945674695876e-13,-9.913146119849178846e-13
3.064453105186356712e-11,6.550558775015908493e-13,-8.294582197459491495e-13
3.024271327386151549e-11,6.138407268662633018e-13,-7.860993432391491042e-13
3.001542507629893191e-11,6.248649516194428891e-13,-4.661705765796606670e-13
2.990040091371931090e-11,6.102582713951596946e-13,-4.536855865243591334e-13
2.983602162070893964e-11,6.218175355400003471e-13,-2.809790656294979421e-13
2.985217280283914843e-11,5.995080563696119381e-13,-5.829250956808736242e-13
2.991828543266916620e-11,5.936011410191470858e-13,-1.977740166823352827e-13
2.991124483942778809e-11,5.925319737737178985e-13,-1.850300148112019057e-13
2.986840308072172381e-11,5.838669836954366856e-13,-1.780755480028825390e-13
2.976630736304638986e-11,5.746739825375887054e-13,-1.198538182544079913e-13
2.964639725065191062e-11,5.650294945553615804e-13,-2.575863788861272774e-13
2.965587669409872424e-11,5.618103578849632843e-13,-3.180302092321750581e-13
2.958632750960220435e-11,5.309859951505055858e-13,-4.301694499099526856e-13
2.941346725140585313e-11,5.288966276185918606e-13,-4.504425149020030838e-13
2.919527655535904025e-11,5.191950689617039428e-13,-2.757165907774130880e-13
2.906282151409193415e-11,5.200068849402611633e-13,-1.646342519718487154e-13
2.899468219869522907e-11,5.098678491906699069e-13,7.536089024352480812e-15
2.899428646131565227e-11,5.034090059117101951e-13,-1.301398284938286629e-13
2.906029512988369624e-11,4.967851115609950623e-13,-2.799274598955104659e-13
2.924477343203792968e-11,4.909081003800021379e-13,-2.663712595101989703e-13
2.950803352773702255e-11,4.924903306304553973e-13,-3.403057449853856193e-13
2.956993764738260886e-11,4.818025936179324259e-13,-3.364343968412159778e-13
2.962902368275065468e-11,4.764358468207145185e-13,-3.922178429902747306e-13
2.963094487973011171e-11,4.779920920726288387e-13,-4.105858463356366857e-13
2.950884807227748841e-11,4.740405118141399039e-13,-4.299478040207782350e-13
