# Flux, Flux Uncertainty, Sky Flux
1.304920825029040101e-14,5.038462936478984272e-13,2.346509923304264554e-16
3.340110478217684735e-14,2.135453009846635751e-13,8.863445713420202668e-17
4.658292616166828828e-14,4.407365422856091755e-13,1.929848673664670921e-16
1.271950287015548722e-14,3.515317747967587168e-13,1.557227287930702236e-16
1.197667520766680707e-14,3.751322510317886891e-13,1.733381500950371155e-16
5.089560154392483806e-15,1.365326526158125168e-13,5.971933348582185601e-17
3.842819066633334851e-14,1.592234324321655094e-13,6.228410023704355587e-17
8.340105189035949483e-15,5.125484657326592126e-14,2.092398269648100385e-17
3.038805783293658106e-15,1.183334018695772530e-13,5.234240232134106480e-17
1.168859548067052297e-14,1.205585430795344300e-13,5.106721747149712317e-17
1.618707744281896368e-14,9.266707959642521676e-14,3.590719164253246051e-17
8.008025296059277832e-15,1.161586680809392184e-13,5.181633687213148926e-17
3.598728776519756536e-15,6.671949739012904111e-14,2.871038460821247849e-17
8.906425810489691535e-15,1.105238018307138851e-13,4.660013892007720453e-17
1.006671750966438551e-15,1.258714289505055660e-13,5.748409588023799338e-17
3.748437250350477024e-15,8.662537559573254521e-14,3.803497501597189082e-17
3.296949098663234002e-15,8.185350661451762116e-14,3.547202470914260757e-17
5.029714240368516632e-15,6.752150443908012464e-14,2.848332212900420964e-17
6.749576374526247393e-15,5.933474562643363283e-14,2.476479985030728550e-17
2.287284466898926199e-15,7.325711207470937903e-14,3.277094797465645667e-17
3.087702416937123309e-15,4.812061817011475884e-14,2.042982900406587096e-17
7.083682543894237397e-15,5.958607161009937797e-14,2.344231511045674542e-17
8.365007457479497390e-15,5.806022541680257123e-14,2.370073027498840950e-17
6.032663078466571874e-15,6.481084500212400139e-14,2.653479013600625473e-17
5.491877125385813860e-15,5.508255125208265298e-14,2.260021242241548239e-17
4.982786110279432446e-15,5.934978391579132794e-14,2.508903008865460472e-17
3.917234126902418537e-15,5.747638239028450872e-14,2.389885819814097662e-17
4.673043707059917797e-15,4.898616123499772393e-14,2.076235081098832373e-17
3.755324834010840574e-15,5.229138846376457338e-14,2.186488792192380266e-17
6.187968270695770353e-15,5.238680263670933251e-14,2.136726153439844140e-17
8.096208753440570392e-15,5.706621571152137012e-14,2.304076538752908609e-17
5.055247337464823450e-15,4.265401273801800291e-14,1.764071285682197398e-17
6.856679025203240546e-16,4.912216089891729363e-14,2.242052888554119602e-17
