# Flux, Flux Uncertainty, Sky Flux
3.305251223979726662e-14,2.611611604678944440e-13,1.107514150307244724e-16
5.725832862122443355e-15,5.021764711961591976e-14,1.907993774549693016e-17
5.937188194296392943e-16,2.828007123231149677e-14,1.209182167621488942e-17
1.835757954882469634e-15,3.131526938027415347e-14,1.237840507911854353e-17
1.636854404992014123e-15,4.099908186134262871e-14,1.581145570729844519e-17
1.993206660320235431e-15,3.863408594610397982e-14,1.489300961706912771e-17
1.299939678268575383e-15,3.580368889379979114e-14,1.365564283967389619e-17
1.103162200672312782e-15,4.050389321984313082e-14,1.488662637810912870e-17
2.020988106063502904e-15,2.192172880571261273e-14,7.164639374646739991e-18
9.583585889412752164e-16,2.571654833051581214e-14,8.992452226746731225e-18
1.181569302629171157e-15,2.752063525427949459e-14,9.781225334944450214e-18
1.656721040019303859e-15,1.942490005872211056e-14,6.019139089425188277e-18
2.003744928871547881e-15,2.014817036646908788e-14,6.372949883123678351e-18
1.211897189811300077e-15,1.629230088893876114e-14,5.197896445223498693e-18
4.198307836866364904e-16,1.380029812564919089e-14,4.491894817460527899e-18
1.512969815853321337e-15,1.220770126746453135e-14,3.297118571263364367e-18
4.128579083773418611e-16,1.246798474815905053e-14,4.084167718576377719e-18
9.692756268517681874e-16,1.166514926425181984e-14,3.432215528832268532e-18
5.897869479691191349e-16,1.073513745262037032e-14,3.423836821732921703e-18
9.247807896012517833e-16,9.980850560703089992e-15,3.004050177718736467e-18
2.615556459445091269e-16,8.934014219515552063e-15,2.925960006790722625e-18
5.961983354684249485e-17,8.559880054620596321e-15,3.141932735364183903e-18
2.206342784187220206e-16,7.956040277893597565e-15,2.776137427318773884e-18
2.533898599342463108e-16,7.600655033416350728e-15,2.630353036977679777e-18
5.584073141799770441e-16,6.609788536821867097e-15,2.151992603649846805e-18
1.461509413068766460e-16,5.842972129120345123e-15,2.091775482157867924e-18
1.661600372509171596e-16,5.465800301865869561e-15,1.963381189575556332e-18
2.147789882694467141e-16,4.796841416303235098e-15,1.696524298485234053e-18
2.148493498542570595e-16,4.327796513249597793e-15,1.536738603479982834e-18
3.087929346462894613e-16,3.886070410298049381e-15,1.356211603000140244e-18
3.023900607492877552e-16,3.562639843521175189e-15,1.250051714354233636e-18
2.924113497573045326e-16,3.246677073493397419e-15,1.185493736342600155e-18
2.722465393975287021e-16,2.913866880739792894e-15,1.061835447115294937e-18
3.001177897025913895e-16,2.741727337653708925e-15,1.013742405849826808e-18
1.154802353076157302e-16,2.517562454043139906e-15,1.006889555280642940e-18
9.699341086287523896e-17,2.298647130712098934e-15,9.100925323181233582e-19
1.500614813400317794e-16,2.046122083841572182e-15,7.817147828544258932e-19
4.323968387233764407e-18,1.814249715610089147e-15,7.796487656720931073e-19
4.653023272061749632e-17,1.611188584569223683e-15,6.644760981465226779e-19
3.901786386433859641e-17,1.736736319493346360e-15,7.495769642016103752e-19
1.326926914008391795e-16,1.561250003957673428e-15,6.139325921324067114e-19
1.445016892780127542e-16,1.478981117119518797e-15,5.784088386357584242e-19
7.818881486611855611e-17,1.447503327292442556e-15,6.006679859240950906e-19
8.719324807892768790e-17,1.366268577002345394e-15,5.738865744774874550e-19
1.571221587337978896e-16,1.230184756695530235e-15,4.656887789077846240e-19
3.406522852878332378e-17,1.131863903317820880e-15,4.817583574917583844e-19
8.552464526882972930e-17,1.106949929614657406e-15,4.606778675562486009e-19
6.262329660360965494e-17,1.038613534061696578e-15,4.244065965078990244e-19
8.557906847981655477e-17,9.689765712652376823e-16,3.865451038256015579e-19
2.746581615361829119e-17,9.465786090420685957e-16,4.131612511979996749e-19
1.146670307406225932e-16,8.810112840627824196e-16,3.414262825267616451e-19
1.116544931033401026e-16,8.522924512155708986e-16,3.325089483313273375e-19
8.576977590277809231e-17,8.207005669099517649e-16,3.359319577060108083e-19
7.572589602419515949e-17,7.958105499426501155e-16,3.272944746691093124e-19
5.936146042629051139e-17,7.356185093958117109e-16,3.065289716438583079e-19
6.704047045384361269e-17,7.339565365602551791e-16,3.098151691676605382e-19
2.738754851669132481e-17,6.975725919959642664e-16,3.066349388083498929e-19
1.941070905903233942e-17,6.545227066154664774e-16,2.871930849920121138e-19
4.267544055608393324e-17,6.444918065535746962e-16,2.778874671372908635e-19
3.409843436355855893e-17,6.290404633121702436e-16,2.761827994486337319e-19
4.686271729069864442e-17,6.253640831165796234e-16,2.767771635725071011e-19
3.464953685539858445e-17,5.619009424051375507e-16,2.388415909856659949e-19
8.188934826979904739e-17,5.736350548168577483e-16,2.325068629360031202e-19
4.890340873096702320e-17,5.711273870967427367e-16,2.509967644967596815e-19
2.762107072694881889e-17,5.486102192617953188e-16,2.504693720431732603e-19
1.039053505482473144e-17,5.210503383953961708e-16,2.395415289175210756e-19
1.529414181769021774e-17,5.126276815561756852e-16,2.377354510735217602e-19
1.935106473382790779e-17,4.944711455739852696e-16,2.264541641036955531e-19
4.745615184400166876e-17,4.780975581828116363e-16,2.002847893739779094e-19
3.835179754736060799e-17,4.829485595050801572e-16,2.150421047844771872e-19
3.447282765597619599e-17,4.587187369447319689e-16,1.999082537677944035e-19
1.102229506803998919e-17,4.446974716532382521e-16,2.082099303698924944e-19
3.936967417638496095e-17,4.394055654703135318e-16,1.963886678224823465e-19
1.963780605211218121e-17,4.346922736306702474e-16,1.988525674489140559e-19
2.501665081748548437e-17,4.253358666142143977e-16,1.939628469589501436e-19
2.516174314181116117e-17,4.053253223180058699e-16,1.828218503279702740e-19
1.175529573984782498e-17,4.096613179468561211e-16,1.910113739213401480e-19
1.106726785960601164e-17,3.962677900051826501e-16,1.859522718143214959e-19
2.100320576992320058e-17,3.971929715375664819e-16,1.902656593895743641e-19
5.298283248116446838e-17,3.919990719407671159e-16,1.710881953480133014e-19
2.633255518538127119e-17,3.893744509689621313e-16,1.796197622949213054e-19
1.099937615836156449e-17,3.750147651950180354e-16,1.823539239144648128e-19
2.568016976391636961e-17,3.769623429954317046e-16,1.775623817884618207e-19
2.392684820747710733e-17,3.616208100156134300e-16,1.696116331698029403e-19
1.182952063254431080e-17,3.588520340540094724e-16,1.754385463335970232e-19
1.142036930513745425e-17,3.488442036279189894e-16,1.695433096248090239e-19
1.448458642859838639e-17,3.517951961074814250e-16,1.702824491010082848e-19
2.145997349947575999e-17,3.481214040408276916e-16,1.656771707529832449e-19
5.317185842799241989e-18,3.379592887907073458e-16,1.707901813102734086e-19
1.312427453164427514e-17,3.417056701366915256e-16,1.694279413354081634e-19
3.107058740628443156e-17,3.326215936264842795e-16,1.553173159679738323e-19
7.924572780677570329e-18,3.394265968409763273e-16,1.729608369814586862e-19
2.827394164800605760e-17,3.300418834239264064e-16,1.589178896197274343e-19
9.678677286036981050e-18,3.192937883887318456e-16,1.575245386052434272e-19
4.177836948725643100e-17,3.145318757080100213e-16,1.421203022224834310e-19
2.619192352227827334e-17,3.171636817950456322e-16,1.544405533448936232e-19
2.460055651686743807e-17,3.164496465589367737e-16,1.541027618592034064e-19
2.303903532715641186e-17,3.122343321685675909e-16,1.555121974423760461e-19
2.499450808129433160e-17,3.029566216865677175e-16,1.455038827184409134e-19
3.284346795678913586e-17,3.120397241401227677e-16,1.527879175437871411e-19
1.437051809750017839e-17,3.011595272620930928e-16,1.521644362565119934e-19
1.825769649802909622e-17,2.998860496426793384e-16,1.497143339712768861e-19
9.202306982008950456e-18,2.990161016635984289e-16,1.569442730612314533e-19
1.117588965661824597e-17,2.903162445068870790e-16,1.512401881882721013e-19
1.703727082087608575e-17,2.949185196876662901e-16,1.538816641403549609e-19
2.806934283334801038e-17,2.964201099026077972e-16,1.486359767184171942e-19
2.279537322365173378e-17,2.916943584171140267e-16,1.524941957675938876e-19
1.859475459684227544e-17,2.865980484419843973e-16,1.503008773296907455e-19
4.618043605897464557e-17,2.893965094158539884e-16,1.400094175889256032e-19
2.494407808970263808e-17,2.923634130760414764e-16,1.520190724203148739e-19
3.037385088368115207e-17,2.929830121219212830e-16,1.507546331054564402e-19
2.491147110849834098e-17,2.804218300827598855e-16,1.444654961814489703e-19
3.245258571737153102e-17,2.777002314014418325e-16,1.357979118841052211e-19
2.173842639610403742e-17,2.752187570118970384e-16,1.395111196107058366e-19
1.399847128096951786e-17,2.759507358430234472e-16,1.485689335880319778e-19
2.284303715033830075e-17,2.717698047310217639e-16,1.420264652399865390e-19
2.888180127225229593e-17,2.728012177906614637e-16,1.380298080240846603e-19
1.504385352356991363e-17,2.664090210041224124e-16,1.405505296590838371e-19
1.371515218066735846e-17,2.671414067280958386e-16,1.430081763770856033e-19
6.776368087503596106e-18,2.681644650360499945e-16,1.476311729711306878e-19
2.333028958538653041e-17,2.629412072191404403e-16,1.360681560033238696e-19
1.214383357160818448e-17,2.614890676527748510e-16,1.397112627649628612e-19
3.057944522719525984e-17,2.596564078248297172e-16,1.314234758985581760e-19
1.452083135760801183e-17,2.633145702028426628e-16,1.423187414991756149e-19
2.931041028811268148e-17,2.642800448858369065e-16,1.419981460853993594e-19
4.212088495937618576e-17,2.616863517467100008e-16,1.324452653559083376e-19
1.954222073727387958e-17,2.504347335453404851e-16,1.332444518740656788e-19
2.205394789983179874e-17,2.585396199064042921e-16,1.377893006792032835e-19
8.849534141122554561e-18,2.462197009994057018e-16,1.340885165994385026e-19
2.094941947796852251e-17,2.487922863532890868e-16,1.287606942051186451e-19
9.036799325602159946e-18,2.479042075905790571e-16,1.352992576781020152e-19
2.917067382781891892e-17,2.508783999447668075e-16,1.304603762251996054e-19
2.043030845292376821e-17,2.450740264150727646e-16,1.299351130890461958e-19
2.833764244919372865e-17,2.444539255084581188e-16,1.274937069248901982e-19
2.384617068279710926e-17,2.480126960479699302e-16,1.318077280235050768e-19
2.701674000856872830e-17,2.390475902778131443e-16,1.209380081371992814e-19
2.071125193862187651e-17,2.375015825368854840e-16,1.220622874586456698e-19
3.280809239899732669e-17,2.385420761583127162e-16,1.186606387376218007e-19
1.246405326687368227e-17,2.376204869265697748e-16,1.296249710775765768e-19
1.783081537649297233e-17,2.310533340974638129e-16,1.209147229337761297e-19
2.336304643085768600e-17,2.339592705002711242e-16,1.221696886226227881e-19
1.411780789321988922e-17,2.410048995870881898e-16,1.321194680106832421e-19
3.123552172909694833e-17,2.387732839301890768e-16,1.219591457175220709e-19
1.673831294857365025e-17,2.334065340496621892e-16,1.231518767177504663e-19
1.594027721447285773e-17,2.279116790266880648e-16,1.202604297436570314e-19
2.099386481910805976e-17,2.286196417534521843e-16,1.181168920150317362e-19
2.475224715769054635e-17,2.297920852772722349e-16,1.174291538543586521e-19
3.123761591628435124e-17,2.300471310280257675e-16,1.151462348501150042e-19
2.160822097373331315e-17,2.306525914788892121e-16,1.206342021781348563e-19
1.893106340991964760e-17,2.252523591538951379e-16,1.186112430500306643e-19
4.069382864238509533e-17,2.307323295322854330e-16,1.153932201125728697e-19
