# Flux, Flux Uncertainty, Sky Flux
8.297511236783144359e-12,7.068878722934549536e-13,-4.166798973437929382e-13
8.309729183416450755e-12,5.654160931115804430e-13,3.920411713637031072e-13
8.329273543950308910e-12,5.287405793334165219e-13,-2.353759768458357166e-13
8.343175218962082834e-12,5.238197734491297070e-13,-9.186124170769513223e-13
8.347650517624249166e-12,5.294937791106206960e-13,-1.398366876856303398e-12
8.362014548869771219e-12,4.440133266430287843e-13,-2.374046086718135930e-12
8.369358717106762962e-12,3.080457673768088106e-13,-3.849254481540593985e-12
8.363673222227782421e-12,4.510227736152110166e-13,-2.068391588518224137e-12
8.362814445718219245e-12,4.111949113056007195e-13,-1.710411492251059906e-12
8.355072905983554667e-12,4.138394862955188423e-13,-2.299285738930117684e-12
8.343938525142628923e-12,3.823976631590758733e-13,-1.911456836549973583e-12
8.327480770296718102e-12,3.922653632932194588e-13,-1.634537540812959138e-12
8.311134718566756115e-12,2.693937267886593853e-13,-1.495962169943465174e-12
8.287683430108130322e-12,3.480305497140626825e-13,-1.258975194634491754e-12
8.268669820756535635e-12,3.358268947036571219e-13,-1.173936137763638714e-12
8.254673904778488946e-12,3.307832356361289113e-13,-1.110761535955319252e-12
8.243693331295517239e-12,3.284828238426510789e-13,-1.103090892592738183e-12
8.227443332421156111e-12,3.308127181221462218e-13,-1.015257228048056424e-12
8.205640678662690873e-12,2.970500040115920959e-13,-1.069290526521710496e-12
8.187014623871980213e-12,2.449470157688436239e-13,-9.219832404804308292e-13
8.170548139654816291e-12,2.734829616561891450e-13,-8.849589879159934100e-13
8.160624584129306696e-12,2.730247546305755448e-13,-7.458999250857619683e-13
8.148077664785019007e-12,2.686538822021679769e-13,-7.378759664031886151e-13
8.140632202650660162e-12,2.541456800808034418e-13,-5.748477038195243552e-13
8.127515147953437745e-12,2.418498527253257458e-13,-5.426284292668185116e-13
8.116852670281364374e-12,2.338643221447642227e-13,-4.621642922269661941e-13
8.084475112007850867e-12,2.205102941710752502e-13,-4.532322159238975492e-13
8.062575262192384792e-12,2.085936431473916091e-13,-3.630352105509527524e-13
8.046637268355081004e-12,1.963028736866563268e-13,-3.649360435023649207e-13
8.021457088661267843e-12,1.875780782076794595e-13,-3.251664956710197000e-13
7.994546350097530180e-12,1.795102527041495018e-13,-3.141376318593488871e-13
7.968266712556789558e-12,1.595797205000291783e-13,-2.602326728730232170e-13
7.937476287967447214e-12,1.598401306851041562e-13,-2.429789704275477793e-13
7.919107627659585610e-12,1.537646945803867720e-13,-2.158667469649292175e-13
7.887649374892932478e-12,1.491470815500968823e-13,-1.966879199876180280e-13
7.861546751585350110e-12,1.404896265544279730e-13,-1.797898165171624088e-13
7.840293327488824307e-12,1.336468072318620393e-13,-2.229583201069879066e-13
7.828231255395793214e-12,7.585601581544950234e-14,-2.130721956748438571e-13
7.807817822224979996e-12,1.228839298938031049e-13,-2.042312797592915029e-13
7.806550067092665217e-12,1.201952373051218569e-13,-1.630241406001767190e-13
7.808076329691938359e-12,1.164907019275119665e-13,-1.132588327763372876e-13
7.806000936819927275e-12,1.162110355510366981e-13,-9.248222699154651344e-14
7.807064836336303111e-12,1.129376743929063215e-13,-7.205305463821314680e-14
7.800086531248993039e-12,1.078154103898967818e-13,-7.306853566254326219e-14
7.790845448617260843e-12,1.036611113980347318e-13,-7.106851886185959008e-14
7.775558113699890668e-12,1.003191168199195867e-13,-7.483888053372854562e-14
7.755913839929587394e-12,9.848247761931686466e-14,-7.353622447358083647e-14
7.732377092109197140e-12,9.429374860452591131e-14,-6.803381193239731817e-14
7.720798364465761043e-12,9.247272200462715357e-14,-6.285895616799246895e-14
7.698305321790364607e-12,9.034344184778389435e-14,-4.543331937551917596e-14
7.680659883293855698e-12,8.750509255967151603e-14,-4.696515253831884223e-14
7.664365855601902190e-12,8.555901359284584375e-14,-3.137024003477060074e-14
7.657411258525460675e-12,8.356708773448443726e-14,-2.883634381672820769e-14
7.650426140227038319e-12,8.167355707097778280e-14,-1.383864607415213474e-14
7.642892773002398349e-12,7.985422841030459753e-14,1.399081374333165223e-15
7.635659531367164532e-12,7.971520246434829838e-14,-8.087746963844296174e-15
7.628677004603464530e-12,7.755952753561199549e-14,1.128447646029632510e-14
7.621767075432609072e-12,7.603027039226817302e-14,1.902096636989043450e-15
7.624828862252201735e-12,7.428657622678326281e-14,-1.680291963290167828e-15
7.621814156805281730e-12,7.275813207800114563e-14,-1.546238095971090934e-14
7.600117650702798163e-12,7.156465934505289756e-14,-5.621590524162647033e-16
7.591022080975492248e-12,7.036743608524563644e-14,-2.292608884534818700e-14
7.579386795823472443e-12,6.919964084526531789e-14,5.319923559158011703e-15
7.568119851344152119e-12,6.827874977835236129e-14,1.708509771361562159e-15
7.558632299755428976e-12,6.732048106910536933e-14,1.146933608012267914e-14
7.551263085585938032e-12,6.656517557657628200e-14,2.489211138659066490e-14
7.542409877004071112e-12,6.567604921676062678e-14,2.320727231166026516e-14
7.527604469302474970e-12,6.417137887208792439e-14,2.814731654162317818e-14
7.508991574233575557e-12,6.393541016018400938e-14,3.793284919920955548e-14
7.491079186653086162e-12,6.285263923039367138e-14,3.117988542723273543e-14
7.476394255035162129e-12,6.126164993654209946e-14,1.212938396267062072e-14
7.460875990392742406e-12,6.066909312359600129e-14,3.421871527116067716e-14
7.454097659841889612e-12,6.002645315113812475e-14,4.248354408771372661e-14
7.447401614926078403e-12,5.931123399486787965e-14,2.150371075759584302e-14
7.436427897311924784e-12,5.814477550009840621e-14,9.292799924197981553e-15
7.427107292943131052e-12,5.825157160659777913e-14,2.972364371291681050e-14
7.413513369067344236e-12,5.710240961021210042e-14,1.299185244679561962e-14
7.402700549255653635e-12,5.636378596862380759e-14,1.688364910946603020e-14
7.385510011819907800e-12,5.589354055777213271e-14,1.601483882280025026e-14
