# Flux, Flux uncertainty, Sky flux
-inf,inf,inf
inf,inf,inf
inf,inf,inf
-inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
-inf,inf,inf
-inf,inf,inf
-inf,inf,inf
-inf,inf,inf
inf,inf,inf
-inf,inf,inf
-1.554346200273727358e+295,5.283586739431834819e+294,2.974825293322333715e+296
4.535960802330659586e+248,1.722811791168324200e+248,8.429418979384310041e+249
2.586662165338754085e+206,4.434569060152575348e+206,2.288348591221054198e+208
2.523040663439024404e+170,5.499515906572063237e+169,2.500078181067177995e+171
2.136187216188687514e+137,1.516720323226996056e+137,7.497727010730948896e+138
1.558440675264566263e+108,4.882326673120660388e+108,2.517629013213862163e+110
4.060140416468731631e+83,1.129101680502008269e+84,5.876322632029267889e+85
1.140446612489085460e+63,9.114651393261159039e+62,4.787647178403244257e+64
1.106577982729119974e+45,1.347896318466637666e+45,7.003833114121363384e+46
3.594902112578251379e+30,1.947871800717903452e+30,9.920979763449119943e+31
4.041248389801354880e+17,1.439345689438905600e+18,7.445989020803416064e+19
-1.981165666753514707e+08,3.003554817693805099e+08,1.611661585147136497e+10
2.187137060010004674e+01,9.455283399365862707e+00,4.718546752697052966e+02
7.773386692325564467e-05,2.215228365516943895e-05,1.020173630982657703e-03
-5.221006869595101150e-09,1.992004923149782326e-09,1.111367152961928861e-07
-4.977296343867819434e-12,3.686491993627702595e-12,2.018912068273196291e-10
1.482570976833986615e-13,8.544982551293769866e-14,4.192913314507855776e-12
2.108383551646833981e-14,1.092284431885208888e-14,5.316627363127558492e-13
-7.777873413063429786e-15,4.103620025845121879e-15,2.243355405134620169e-13
-2.226035252803643059e-15,2.603907518297863185e-15,1.362325934059355005e-13
4.334219860282299867e-15,2.022726321300242655e-15,9.618475784136820216e-14
-1.360649380843765274e-15,1.505688759811085409e-15,7.821392870596241730e-14
1.917884880041147207e-15,1.329008869423664416e-15,6.649579314551386394e-14
-1.268837099986389442e-15,1.046986718154741021e-15,5.690598516995626166e-14
-8.910826329958085406e-16,9.194742159412368440e-16,5.001427209114656090e-14
-1.682117812788796314e-16,7.929107721530234349e-16,4.220337315897832842e-14
7.714786704490909283e-16,7.110181931937535614e-16,3.454751830151903417e-14
-1.797173675785451746e-16,6.555516781599214585e-16,3.368836877962257720e-14
7.009733325118078876e-16,6.964483394924921641e-16,3.436466410992201580e-14
-8.931225687108432487e-16,6.644708556293797276e-16,3.428810577059875501e-14
-3.841973705255079172e-16,5.934385441114123847e-16,3.136961241622336954e-14
-5.124184163118834053e-17,5.886149485550339246e-16,2.929844841941925689e-14
-1.820098464951539893e-15,5.128565941940399795e-16,2.974380040142983109e-14
1.214965116682662390e-15,5.293097422692294543e-16,2.589080741177610338e-14
-7.093549193173885573e-17,4.829176437745887906e-16,2.451910034693114365e-14
4.187309677294325774e-16,4.626221454782957541e-16,2.372336477483229421e-14
8.731857188796685940e-16,4.424132123002318599e-16,2.189758324017484604e-14
3.722954063528241918e-17,4.055612463575639450e-16,2.106011317971901640e-14
-4.787310752515046285e-16,3.631511113330776944e-16,1.957020124921120116e-14
3.454952391671577451e-16,3.903291552292481840e-16,2.059291791334656937e-14
-3.226069182045017895e-16,3.493896743428301566e-16,1.867157458025725836e-14
7.724957201286457466e-17,3.582506271144258807e-16,1.777742067148988051e-14
-1.422213935258990107e-15,3.268684836220528268e-16,1.854651986933482055e-14
-4.224150999966539120e-16,3.121704099243182401e-16,1.681155396844592437e-14
2.230451124137697012e-16,3.027100160415990607e-16,1.542916357740299356e-14
6.939945377809052171e-16,2.889630409821761123e-16,1.376247022628003462e-14
-9.459519117954389098e-16,2.527343676569629767e-16,1.461022135387198170e-14
-6.500032539200372101e-16,2.570169422075410031e-16,1.453301144325697909e-14
1.737950673951343135e-16,2.462576692097341902e-16,1.220202621313522106e-14
3.079482963138104318e-16,2.511566368940066045e-16,1.246874140062342464e-14
4.761418058805864491e-16,2.351008036697530923e-16,1.160109007784854609e-14
-4.097708170890814682e-16,2.122937880705374894e-16,1.166349731609014108e-14
-8.904928263941284525e-18,2.211778404930682113e-16,1.090541519367116429e-14
-3.585650668455867197e-17,2.092958678135052785e-16,1.123473566777870890e-14
2.875533188735982361e-16,2.119548334506855785e-16,1.029181222216359291e-14
9.888104527748152204e-18,1.935296180392728642e-16,1.031311960515015169e-14
7.336430165367471918e-17,1.857884378983544616e-16,9.454345137634408462e-15
-5.203614110823512619e-16,1.745003077327927983e-16,9.840621602265951534e-15
3.796460241620881595e-16,1.819320292823762513e-16,8.751994782575819764e-15
-1.823083607382629454e-16,1.777390325905368577e-16,9.541605865934811220e-15
-5.697262980929662976e-16,1.686468285767284211e-16,9.803671859511433071e-15
2.638434876699260890e-16,1.688506630645399020e-16,8.421819296100669398e-15
2.584524074751819916e-16,1.661486772053400543e-16,8.087593938437415859e-15
-1.209480649778497486e-16,1.611324815248650132e-16,8.229537696913540322e-15
-2.997972487660569311e-16,1.576961733816112287e-16,8.561602480414303902e-15
-2.732717389066116027e-16,1.439246574087641236e-16,7.865795161201111945e-15
2.405749963865240844e-16,1.452524273033103772e-16,7.186964204177795886e-15
5.459910764690646906e-17,1.384707331604482053e-16,7.224472738993988494e-15
3.307687421642228134e-16,1.355253664546244805e-16,6.175388000007116230e-15
8.332823735379529265e-17,1.324795092928089025e-16,6.991360400170838084e-15
-6.020204262502329452e-18,1.261001186170757505e-16,6.388793406144848986e-15
1.893721432486911883e-16,1.287950548800332830e-16,6.489922780724547291e-15
3.169514818555141815e-16,1.303317431129658247e-16,6.382124990038349237e-15
-1.146342086196772030e-16,1.267122541020683563e-16,7.114839777149580788e-15
2.515891858703192845e-16,1.215916134506999110e-16,5.785310359360210991e-15
-3.208685974767198091e-16,1.094117940867728895e-16,6.093305127095125122e-15
-5.638593119744273414e-18,1.145188286999248837e-16,6.049143703575399683e-15
-2.513343212839916167e-16,1.113727973079214045e-16,5.977387581233388293e-15
2.225394750345169137e-16,1.129289741922123792e-16,5.477256689074896493e-15
7.425639483575714392e-17,1.110233207332945255e-16,5.670579070764472586e-15
-8.783112196661291613e-17,1.084435634006005182e-16,5.656490678440427921e-15
-1.888561552173973483e-16,1.003667398602126640e-16,5.565233724703845080e-15
-1.656209847249031372e-16,1.017806008066662992e-16,5.334589493513936595e-15
-1.079673719637239744e-16,9.493399473154726099e-17,5.020349633200899844e-15
1.813633773632645314e-16,1.025486665719245246e-16,4.744084272123079093e-15
2.660687099322256445e-16,9.871387496624953341e-17,4.701760301753791668e-15
-2.673048026038731590e-16,9.021547133199595681e-17,5.162005848805539551e-15
