# Flux, Flux Uncertainty, Sky Flux
inf,inf,inf
inf,inf,-inf
inf,inf,inf
inf,inf,-inf
inf,inf,-inf
inf,inf,-inf
inf,inf,-inf
inf,inf,-inf
8.130442398782311629e+264,2.647644863926922577e+263,-6.274701397911031637e+264
9.329620997113262380e+219,2.427793353208067082e+218,-7.449112320611687860e+219
1.969431644224646207e+180,8.243132516440263857e+178,-1.294990553822378769e+180
2.564548285330667635e+145,9.503546339269099988e+143,-1.811600151892165464e+145
1.267796884222851114e+115,5.029833088217579158e+113,-8.468313333230908323e+114
8.449453680131393117e+88,3.427114074647924312e+87,-4.934452158362208623e+88
5.654326235329543744e+66,2.913649384899362957e+65,-3.203508089943131770e+66
1.896203657669092290e+48,4.833212112146559811e+46,-1.178874383315014487e+48
1.162224518845156053e+33,3.086733032364478469e+31,-6.502167391619675443e+32
5.783486943089953997e+20,1.307534816019544883e+19,-3.254717057817200558e+20
1.250175404723351746e+11,1.412283861094159842e+09,-6.487481823848028564e+10
4.868676899801644140e+03,1.691251557594045778e+02,-2.315369353320082610e+03
1.978357881476188948e-02,5.891909498878117064e-04,-8.520558483283634590e-03
3.850016980500359896e-06,1.255247803711752407e-07,-1.431357701527980781e-06
1.538951788232537147e-08,6.326287029686624158e-10,-5.874345151152058477e-09
7.505929738180091635e-10,2.398339734802040075e-11,-2.684199923458484897e-10
1.893773713147539949e-10,4.155474722330735181e-12,-5.597203377205349573e-11
1.034881115861911938e-10,4.140205778746950228e-12,-3.139828324416076932e-11
7.142946502459144682e-11,1.968958075115326085e-12,-2.191169419495344935e-11
6.308419354009989130e-11,2.235363489786781065e-12,-1.746127940802213869e-11
5.123685659696457381e-11,1.935419050429278166e-12,-1.298577847062691780e-11
4.195079742598966855e-11,1.650441323972526913e-12,-1.065228658846584210e-11
3.992806393688629223e-11,1.494694717341668929e-12,-9.128376892035889061e-12
3.656528118093150876e-11,1.331204840011904564e-12,-7.344005797726831264e-12
3.202860181236621333e-11,1.096092908448073836e-12,-8.187681449226749840e-12
3.361786229221148022e-11,1.080286554748394422e-12,-7.651548727601060265e-12
3.142613795901099868e-11,9.834423557965766306e-13,-7.221372689161257250e-12
2.822877090800430084e-11,7.886586910876298839e-13,-6.282216074307188193e-12
2.525562963259653441e-11,7.611389617606140606e-13,-5.854615137658876807e-12
2.256422836298330464e-11,8.376906595661062016e-13,-3.448610593927211656e-12
2.374738987368649068e-11,7.012447024786308887e-13,-4.412620016135388353e-12
2.356685733143095453e-11,6.309541069907887061e-13,-4.537245441717939013e-12
2.443649633134325495e-11,7.890633415253704276e-13,-4.345089415485500092e-12
2.741739012500086821e-11,8.494229431748715916e-13,-5.382324135202202519e-12
2.693860694663980001e-11,7.966960344368385775e-13,-5.125486986036722022e-12
2.563488197324557683e-11,6.592697634061172317e-13,-4.882226753635459227e-12
2.579088525313102509e-11,8.009428477673849476e-13,-4.581722261192754621e-12
2.683857111499509808e-11,7.286430761388707605e-13,-4.497890989222990657e-12
2.487330591097854387e-11,7.276107847509085690e-13,-3.933813296834502240e-12
2.473227700146755169e-11,7.117626227673989241e-13,-3.498873198756564416e-12
2.394021931550297133e-11,6.593090587043331342e-13,-3.147714752908448257e-12
2.502384196702536826e-11,7.055945378803346765e-13,-3.230654621423922129e-12
2.550689752047884653e-11,6.880959912795689346e-13,-3.214757608247190791e-12
2.400842346850060119e-11,6.222607672308101598e-13,-3.037076693113076714e-12
2.472349640377986498e-11,6.214925744233093896e-13,-2.931384855713293222e-12
2.507206604816921258e-11,6.768747161218356735e-13,-2.790895334269063110e-12
2.509385331783419378e-11,6.543287126806895508e-13,-2.798156199196122305e-12
2.516887101674567024e-11,6.559657158482902286e-13,-2.665003530297179490e-12
2.468206780252166697e-11,5.872735940413336128e-13,-2.503542459150669223e-12
2.429779951987260935e-11,6.063717170878882509e-13,-2.733224700122739615e-12
2.390968169697459835e-11,5.866907786268643132e-13,-2.648029101341261915e-12
2.260626592561532749e-11,5.697287258520616721e-13,-1.917224906177128931e-12
2.311658365992627774e-11,5.692898474935810537e-13,-1.767033124241332985e-12
2.465725571612075275e-11,5.282508411884701184e-13,-2.752003016160150324e-12
2.389636286991429105e-11,5.409006638905442534e-13,-2.139594009199313549e-12
2.318564976680811347e-11,5.276854278590515704e-13,-1.954297349089373856e-12
2.397329423247690489e-11,5.468394572128780265e-13,-1.762982494845796664e-12
2.346880122632651924e-11,5.157525124688697917e-13,-1.786668178464463693e-12
2.307292051231791817e-11,4.977831521625498391e-13,-1.504179545484445372e-12
2.265883024937351493e-11,5.122890817305188366e-13,-1.292591000027296577e-12
2.314960817657820861e-11,5.061881448715162795e-13,-1.332339374831144890e-12
2.322136300210321660e-11,5.015177234798773717e-13,-1.184324164636647837e-12
2.376941620578664672e-11,4.902488728579883520e-13,-1.303459255188276885e-12
2.376907688229306743e-11,4.991734844355787363e-13,-1.105271267144689737e-12
2.493785592755810350e-11,5.110487779383162105e-13,-1.118793614676923880e-12
2.411054451398408819e-11,5.035774227844221635e-13,-6.403020526867565225e-13
2.419746683571608452e-11,5.008389376673644339e-13,-4.933084748355010932e-13
2.363872378722061393e-11,4.822064863036548133e-13,-4.072574007680706081e-13
2.352382889310159815e-11,4.700502420240336719e-13,-7.448627771444879576e-13
2.378459384139862857e-11,4.818473129107186761e-13,-6.530881080963458006e-14
2.361781000423656455e-11,4.739772308855653287e-13,2.313344973528110870e-14
2.326796185940256404e-11,4.616046983612458101e-13,-1.313972636168879604e-13
2.325840565041178525e-11,4.556734181614247147e-13,-8.754625287027300039e-14
2.316180512992527071e-11,4.465505034270781790e-13,-2.626786228102434087e-13
2.376620682050941998e-11,4.416049563268190881e-13,-8.051557097339083579e-13
2.525746140404540766e-11,4.537744526847273533e-13,-8.494157504880196985e-13
2.482192864285419496e-11,4.296824756746897432e-13,-7.775384292901799578e-13
2.526280738058996498e-11,4.488174014842236568e-13,-5.553871371695564741e-13
2.488596601413702573e-11,4.420853822860735015e-13,-4.767495186839233829e-13
2.534737534915933926e-11,4.439074941502261603e-13,-1.830486998002016209e-13
2.516979988602160689e-11,4.382282457940801083e-13,-2.225918687945569915e-13
2.545863302547743212e-11,4.324779442422782505e-13,-5.483394202851005335e-13
2.576638759472712493e-11,4.318170139192740250e-13,-4.185354450153324851e-13
2.520590096667098192e-11,4.215213257342866876e-13,-5.355082056424796444e-13
2.590141570318578804e-11,4.121201582476312881e-13,-5.745823979110574816e-13
2.575398324023896700e-11,4.142129734589880752e-13,-6.815371269744787068e-13
2.531615460302633675e-11,3.991923110482790019e-13,-7.349541229681510571e-13
2.494683818708453654e-11,3.757398014233844263e-13,-7.579774179843003455e-13
