# Flux, Flux Uncertainty, Sky Flux
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
inf,inf,inf
8.008273815237509373e+259,9.398719026394481228e+260,1.291983906316324155e+261
2.879315112359493127e+215,1.725816330528505216e+216,2.063387539169714876e+216
1.348852451709569302e+176,5.131634789482877663e+176,4.416136593019021708e+176
9.846129775862173405e+140,7.246665122074412839e+141,9.018058404030839622e+141
5.919503930045544303e+110,3.862405167971058899e+111,5.167171477946724496e+111
6.517907691616824388e+84,4.662015736344039773e+85,5.274396115177052242e+85
4.993007143652338467e+61,1.668792032681328465e+63,4.856703768178877978e+63
1.014683653721862565e+44,1.114587862460763503e+45,1.496497687342263265e+45
4.301983343681319584e+28,4.629839344848702525e+29,9.321097756819064321e+29
4.697011117068590400e+16,4.044487796397613440e+17,4.698218017906437120e+17
1.663143227262612805e+07,1.004450735301199257e+08,1.086163177951058149e+08
2.547118285054869036e-01,3.561886585242347802e+00,5.621218692316710452e+00
2.443704322905669021e-06,2.110587269338019218e-05,2.374520720488168123e-05
8.352932975659658691e-10,4.851192733266320796e-09,4.830026940490451654e-09
4.705324790773601530e-12,2.600283451074973102e-11,2.218823103298632425e-11
1.486161399897966737e-13,9.833482983851750935e-13,1.055049658987203893e-12
4.094813580451051060e-14,2.482518949991900565e-13,2.548146785626403667e-13
1.743665628390918947e-14,1.454303511126498280e-13,1.465416032075009578e-13
1.179337940772665913e-14,9.737250407489711414e-14,1.012016534277159268e-13
1.162782681931374627e-14,7.092437865660483694e-14,8.132545053096657793e-14
6.212693831567951457e-15,5.405365669518978675e-14,6.438851291418184177e-14
8.166066120834414165e-15,4.683771996181748441e-14,5.047751118541178763e-14
9.480537142520130296e-15,4.659399494589435955e-14,4.552062509534551475e-14
6.560665682089969585e-15,3.673861352860272399e-14,3.873792400401471099e-14
6.947647844816159311e-16,1.568979962477209921e-14,3.781621177274102866e-14
1.907044924542800893e-15,2.311090843010654450e-14,3.136269397945001495e-14
5.417222239717013198e-15,3.434999029692015945e-14,2.860707234099572311e-14
4.200719563524722260e-15,2.616096061333958712e-14,2.561754659965293171e-14
5.155436665479980663e-15,2.459441814583834273e-14,2.332043030668980565e-14
1.004789758873757236e-16,1.102511219758423436e-14,2.343042378431153537e-14
1.458670471667103113e-15,1.826089096793208143e-14,2.027786853194763147e-14
3.642618159321009620e-15,1.773394848595873938e-14,2.030274338440086648e-14
2.260923824215145489e-15,1.937017570650324340e-14,1.962690746548620153e-14
1.029118691138519247e-15,1.385689040961136941e-14,2.087686074231562117e-14
5.278077589893822092e-15,2.270147739888603958e-14,1.799101324514061352e-14
2.272211573168496124e-15,1.492992881388353169e-14,1.814579140898050369e-14
2.976611878012240638e-15,1.906327921882598501e-14,1.837384936108844768e-14
1.548799956133464784e-15,1.509164186347405161e-14,1.724905295259295501e-14
1.906315759672917912e-15,1.382684865361030130e-14,1.711225507562093235e-14
1.062582380454086843e-15,1.055600971028759520e-14,1.614921234157091152e-14
6.422798679337675738e-16,8.944185824592378864e-15,1.526837974033085996e-14
5.129635136338276251e-16,1.006483298496212221e-14,1.519099653883405723e-14
2.204985196925255309e-15,1.298075047519510430e-14,1.384253465852108034e-14
1.590299188627194448e-15,1.162992648191807493e-14,1.371819977723752387e-14
1.895076037392257717e-15,1.269779230524490933e-14,1.336677174349935360e-14
1.275422344916280260e-15,1.063795056437752557e-14,1.366378303561660049e-14
8.021469552953106562e-16,9.925973789659397426e-15,1.300654644824095195e-14
2.103098180408369752e-15,1.222010319275181281e-14,1.122959297310245482e-14
1.070335558223375160e-15,8.000515899716383240e-15,1.110123882827179580e-14
3.897109524582962293e-16,6.546629835520328386e-15,1.126682516516124967e-14
4.839426045109741352e-16,7.522472976522927134e-15,1.067767569175214406e-14
4.982189669500301647e-16,6.276351125184405024e-15,9.970016577669006810e-15
1.671865037483898555e-15,1.044231650256689529e-14,8.891728803104888726e-15
2.554005876129227874e-16,5.516194079900644804e-15,9.660085008149115048e-15
6.191866796946864891e-16,7.862551443281526148e-15,9.165371280569288413e-15
5.391508147536135409e-16,5.882472882052551180e-15,9.533547680881891366e-15
1.017362861553144560e-15,8.393755700682483139e-15,8.364027877946728320e-15
1.047644830049434085e-15,7.376933476179970165e-15,7.924497228760067435e-15
6.994688420924659917e-16,6.602915130863851310e-15,7.581649321061146276e-15
4.967349828697116715e-16,5.317934161561686690e-15,7.935878937805594933e-15
1.436430727840686168e-15,8.229276166228310250e-15,6.814971860946684403e-15
3.021225464853107509e-16,5.249710403031995360e-15,7.829549222679901439e-15
1.228513800148285364e-15,7.003688674238888323e-15,7.161215110039227025e-15
2.491891847091028683e-16,4.475165282755773323e-15,7.281107304656828339e-15
3.066867793659445650e-16,5.624078520044076755e-15,6.933170112425673711e-15
3.113036509078425975e-17,3.361478566882946498e-15,7.214569277035478997e-15
2.187314989752244800e-16,4.010355088710057060e-15,6.492409542369736784e-15
8.720589474896101168e-16,6.979302141835992543e-15,5.937760558536871644e-15
1.039000310977143135e-15,6.056185619735036122e-15,5.622187577759275698e-15
6.049165717062501315e-16,6.148315884217185355e-15,6.092180870319016302e-15
4.767358573768550542e-16,4.658495180276217621e-15,5.736670888535355907e-15
5.480708035407730873e-16,4.183610746351721068e-15,5.485883566409901180e-15
3.074062662529396719e-16,4.054212934223621563e-15,5.313227148793965268e-15
5.847374910758986643e-16,5.111133993177969503e-15,5.289309785015907375e-15
2.382974152818941876e-16,3.431151342017731765e-15,5.346488356283765544e-15
6.551531058616745803e-16,4.664603241978069820e-15,4.972862271320037730e-15
2.490571908454251029e-16,4.317618883237599088e-15,5.168070052320235927e-15
3.869613057943513696e-16,4.061321883021636985e-15,4.868412257359875177e-15
3.824287837618085635e-16,4.584388947915235992e-15,5.124403322483433130e-15
2.380902810234496873e-16,3.789528320885812084e-15,4.953046090688866676e-15
4.684140588820238713e-16,3.695194687058551409e-15,4.377435071473419106e-15
3.216013675929551683e-16,3.552677794505212220e-15,4.797659689606841980e-15
2.721287990991860904e-16,4.022399114471937502e-15,4.864911156223160576e-15
3.813463658542606178e-16,3.477279372788259722e-15,4.145799526162806735e-15
4.667333963450022950e-16,3.928721898630807379e-15,4.356661902861363897e-15
7.332332113160778475e-16,4.408552855010464729e-15,3.938179051349039516e-15
4.146492990701000545e-16,3.651385521464041012e-15,4.171182005300389261e-15
3.163792734222775071e-16,2.961397855465530439e-15,4.119526249863606730e-15
8.293768615991207990e-17,2.044071559124957833e-15,4.110668576194376882e-15
1.383411901606895646e-16,1.874555223469582141e-15,4.076835330613483962e-15
