# Flux, Flux uncertainty, Sky flux
6.067817321267196091e+28,3.133715334212629930e+28,1.447474702801617990e+30
3.375736049264444400e+16,3.317082030894842000e+16,1.385128306185443584e+18
-3.494838497018154711e+07,9.464989421513622627e+06,4.492665915275337696e+08
5.154534702885749109e-01,3.883384079000797295e-01,1.570256721704572378e+01
5.599446651397766934e-07,1.079950072322802961e-06,4.197203315923194253e-05
-2.980874319601411315e-10,1.157212806644765426e-10,4.980475006640171490e-09
-9.159756933520867846e-13,2.505031835021926455e-13,1.060775670121297327e-11
-4.274019611300858503e-15,6.206406038459936566e-15,2.317577233898248946e-13
2.065310424053117979e-15,8.597257392375833365e-16,2.839260352892673193e-14
-5.076332640861711581e-17,3.371441147230170230e-16,1.220660160304102930e-14
1.865299147957006660e-16,2.190119052297337099e-16,7.791210699159634875e-15
3.562038955132452689e-16,1.536054035885411855e-16,4.830402376766101130e-15
5.107412349647579022e-16,1.289959587816553006e-16,4.005789965091546483e-15
2.716617410744512257e-16,1.057205860051176569e-16,3.291094035205035266e-15
-6.799952035754389176e-17,8.269104123010732267e-17,2.873734890705292299e-15
1.748598026016240018e-16,7.349781171486289848e-17,2.197891657494942615e-15
-8.692140368321585819e-17,6.334845106765416496e-17,2.243355961251203377e-15
2.058689396400034482e-16,5.907493074146598551e-17,1.656644688061040222e-15
3.246083821387298786e-17,5.248171555782102174e-17,1.735957312540488682e-15
1.105865613991482957e-16,5.010630309686197467e-17,1.577942270938640687e-15
-3.316768343535439948e-17,4.479824892695007054e-17,1.523950979010849149e-15
-6.218646321369742634e-17,4.204480218794802317e-17,1.528043263195193021e-15
-1.195854108494928312e-17,3.940623655555618926e-17,1.445179114381284863e-15
-3.780750561631813953e-17,3.734797436286006578e-17,1.335925071998629686e-15
1.110836689465711733e-16,3.582008382420397842e-17,1.159306501067217908e-15
9.089679207351595617e-18,3.411362817156381646e-17,1.187219687600433480e-15
-7.401240703886616027e-17,3.137173155299479435e-17,1.251612867243187235e-15
2.388143255003824553e-17,3.090508108871845801e-17,1.129188893091633369e-15
1.943743979506343090e-17,2.882214927377885416e-17,1.026916585574032736e-15
8.042371028366812569e-17,2.918668241847232146e-17,1.016949803120191719e-15
1.100758515865270278e-16,2.807247067404656837e-17,9.637916773382084956e-16
6.143273380934465759e-17,2.724571022878780430e-17,1.014304525681105768e-15
5.535463640935025350e-17,2.742242338298102029e-17,1.030202344814384607e-15
1.012075832043771385e-17,2.549114467026314533e-17,1.048536850788846755e-15
-4.103925409666794384e-18,2.467925517533711484e-17,1.031955204307370250e-15
3.497779105006884315e-17,2.409104627216110895e-17,9.541966914388744108e-16
-1.912667391551977523e-18,2.342443272705963727e-17,9.439037112361668672e-16
-1.687350726122473141e-17,2.251821047306990915e-17,9.513634552820076273e-16
7.023382175376496774e-18,2.161518831335915734e-17,8.706356002256521695e-16
-4.051689426762755203e-17,2.188748372712552965e-17,9.993013788245868336e-16
2.205357776120353273e-17,2.170562719400387852e-17,8.731942034289637141e-16
6.066685993045596377e-17,2.072526228664800681e-17,8.319899326002989788e-16
2.096597439021817686e-17,1.966519761269562084e-17,8.044027924191697674e-16
2.219263640820215309e-17,1.970083559311551690e-17,8.511006257913791967e-16
6.775587941164978046e-17,1.924482301782611539e-17,7.611874496334032374e-16
-2.074967666670941402e-17,1.803128673219063348e-17,8.158377355070191202e-16
9.408193990089987632e-18,1.810836792280364501e-17,8.143539856209421802e-16
-7.160941424076372538e-18,1.748954270173560353e-17,7.493304483645752901e-16
1.510464224389513486e-15,3.302690713249115727e-17,7.414912993270344049e-16
3.282459321316742261e-17,1.742591957495059709e-17,7.859735512406487259e-16
3.443812858671564371e-16,2.026888632347483850e-17,6.429766692730415578e-16
1.189939843176481204e-16,1.817856145411992603e-17,7.116070409708843280e-16
5.029364291618363440e-17,1.681709668399313699e-17,7.322280592853451915e-16
7.087069049601937314e-17,1.569021081294200721e-17,6.199248232915110273e-16
-3.106421566092717694e-19,1.505843145318041729e-17,6.814173074259621782e-16
6.556033134116646215e-17,1.540781961953844827e-17,6.400674029090083456e-16
2.447846513584760845e-17,1.433678249685212675e-17,6.097082851166453264e-16
-2.383253109564159668e-17,1.361839671845865196e-17,6.404080126029539903e-16
3.339847409314474548e-17,1.410975893820273384e-17,6.124946699432515814e-16
2.039368809078983137e-17,1.408058620461836804e-17,6.346705797569924934e-16
-1.152681344886237968e-17,1.343250847290734072e-17,6.477763644105125561e-16
3.326626206205389961e-18,1.291205099613236451e-17,5.811545128919377140e-16
5.849026979935268942e-17,1.346486013307323824e-17,5.552429278812783577e-16
4.911197250167293424e-17,1.339299818159767909e-17,5.860131027567950942e-16
-3.946938604591864841e-18,1.311259603437293095e-17,6.130602811961401225e-16
-2.888081031524036346e-17,1.204901226375572522e-17,5.872504602201627396e-16
-3.528238401636219356e-17,1.163775376116295232e-17,5.824733789989266950e-16
-2.734411858098669017e-18,1.191848889157658845e-17,5.618608187525977912e-16
2.213792582360869815e-17,1.192080482365031222e-17,5.318007890128060912e-16
-2.115740833904785678e-17,1.151070140583740693e-17,5.724999007116635217e-16
-1.458567914545658973e-17,1.140959407593352550e-17,5.604894791397894433e-16
