# Flux, Flux Uncertainty, Sky Flux
1.023004084463971183e+33,2.480267125460335559e+34,7.305526526523589623e+34
3.508831907445842379e+22,3.232748896837184908e+23,4.686408328931848948e+23
1.797510721663050391e+13,1.627959326343537812e+14,1.890995716316792188e+14
1.824554672572480922e+05,2.377007053309210110e+06,4.672400619179701433e+06
3.010791512679290016e-01,2.851902023012310661e+00,3.483019044428421918e+00
7.144443579845353653e-07,3.773739286280812310e-05,6.194144187705172212e-05
2.252012682968196085e-09,1.844842774825264120e-08,1.340575544113894187e-08
3.599050171221870523e-12,4.620325136204770207e-11,4.136767090853585575e-11
3.544497443481370553e-14,6.106237925252487849e-13,7.790936148048031994e-13
3.226175258211368300e-15,6.968932733991924788e-14,6.277367651561257761e-14
1.202577178746243468e-15,1.404289897762050803e-14,1.568718398695232218e-14
7.965400540368724357e-16,9.679793290397081476e-15,7.220677174994107343e-15
1.351306118937275353e-16,4.688727240487695575e-15,5.128009365340265284e-15
1.133771363988119816e-16,3.538455546339740153e-15,3.869893527520165664e-15
6.410906765202085327e-16,4.433969316845361677e-15,2.703718205999970348e-15
3.211372425524279240e-16,3.310511682944584967e-15,2.395171322854045888e-15
1.396767070506918073e-16,2.419263047127523974e-15,2.176937538418763694e-15
2.020325706490246177e-16,2.166225924783373710e-15,1.794337331173066510e-15
7.648721014228551853e-17,1.551594008140081051e-15,1.761362976163859097e-15
1.731257198931888462e-16,1.796648245557618595e-15,1.532763739896364778e-15
2.245311694926377507e-17,9.755640804549574574e-16,1.440159388992107750e-15
6.289486458576929554e-17,1.001797913148963927e-15,1.441227914086988691e-15
9.837205803250829799e-17,1.336350841190642120e-15,1.239013962878967663e-15
8.996028671992118390e-17,9.130186231124507464e-16,1.190251287425426542e-15
9.467375318018087731e-17,9.843389180908425538e-16,1.114029046153898651e-15
4.812368940855450783e-17,8.803137672311733736e-16,1.081708796465350743e-15
5.335895663872697853e-17,7.545986387907572120e-16,1.057877417556203397e-15
5.770252982476165595e-17,9.140244054564359114e-16,9.750909316937644965e-16
9.351794265004659726e-17,8.839345405059592319e-16,9.990480693659046168e-16
6.166347646531922946e-17,7.959136644363574835e-16,9.726944905508692763e-16
5.236365857552025903e-17,7.194004201452069464e-16,9.424776107178840518e-16
1.252636244987992158e-17,5.316483585461601867e-16,9.559877534197157617e-16
5.387549954938426333e-17,7.952256176008673117e-16,8.982238327239959988e-16
5.044578302050572192e-17,7.435690194554890068e-16,9.134458805406259370e-16
1.506357789480429094e-17,6.338653328400348798e-16,8.517732254013055187e-16
2.629501465107970444e-17,5.287920853906958659e-16,8.334221934028895080e-16
1.522291827027392098e-17,4.623959824492030901e-16,7.758524106306325999e-16
1.609658507495385380e-17,5.093798014585619474e-16,8.397002970589401399e-16
4.622193951209762007e-17,7.485121284487271374e-16,7.701269815396791947e-16
6.727015120924719065e-17,7.142670336245066365e-16,7.868173848710572449e-16
6.775619857061552951e-17,6.495814368174713659e-16,7.061107754698240669e-16
8.723673574482185500e-17,7.384108153471458867e-16,6.793395025030910544e-16
9.086008897397345729e-17,7.860466474378782246e-16,7.059678299024300424e-16
1.135626939787810009e-16,7.277543280921240760e-16,6.537131417424325685e-16
8.844738865340477281e-17,6.463996197793889157e-16,6.490022038925203368e-16
7.334145011051981692e-17,5.773576608871648123e-16,6.422656092195318682e-16
6.761561129904621007e-17,6.200377384538370889e-16,6.153352299953334213e-16
8.505733512054645840e-17,5.740691639162404359e-16,5.963073371201944434e-16
5.626756981143901558e-17,5.066712539788461607e-16,6.259886303999225927e-16
1.113267220965929512e-17,2.948640718335201943e-16,6.441457808469999493e-16
5.846735009280991726e-17,5.133632693344930048e-16,5.951085547643796569e-16
9.662660768727202780e-17,5.656691766811266151e-16,5.401046232680729375e-16
4.232219614229386424e-17,4.974728914787646807e-16,5.670820758801092921e-16
3.971406504379770283e-17,4.191594523992513111e-16,5.753462459420655389e-16
1.489325400518454338e-17,3.658014748263229815e-16,5.920892361862917534e-16
3.438681721928132255e-17,4.276786950739851126e-16,5.411188595029334318e-16
4.084004031132579325e-17,3.998324380036705161e-16,5.434192316019348147e-16
4.859422500263095741e-17,4.236989349191731209e-16,4.929277862304390195e-16
6.205775033858582062e-17,4.336488247992179101e-16,5.065626623600077630e-16
2.426011648159162695e-17,3.418478785155091342e-16,5.150955716089877573e-16
9.676923064292942664e-18,2.994418971090118346e-16,5.141413214334654470e-16
3.520423461247321978e-17,4.454266694191825514e-16,4.601461696461840432e-16
3.820828811963804707e-17,3.582745898883604183e-16,4.927224691572200540e-16
2.513362678822087988e-17,3.477658125109191103e-16,4.807341642507033913e-16
6.846460612315931592e-18,2.340658055718968825e-16,4.714032297701724142e-16
6.954125202529109346e-17,4.687143909724261520e-16,4.386638614668491929e-16
5.821128789309942551e-17,4.924753144503561579e-16,4.272376182691901669e-16
4.106762990255354327e-17,3.995109802328755144e-16,4.482678572286413900e-16
2.302914488669277566e-17,3.179690044386852828e-16,4.543069497659555573e-16
1.953123381926816568e-17,2.945672900250256922e-16,4.904690542770484559e-16
3.029008145319826079e-17,3.488642096659686768e-16,4.255165445510883391e-16
2.403978785109151578e-17,3.120200006504533757e-16,4.420737678621839043e-16
3.613826015264995236e-17,3.317418818593843496e-16,4.313256655124358017e-16
2.608132675578957236e-17,3.408629862515693754e-16,4.202211966152051127e-16
3.364237692948153222e-17,3.521157072008733857e-16,4.116096039479374474e-16
1.666792485963589204e-17,2.498522083358489161e-16,4.307774861666068806e-16
1.398428549411759418e-17,2.826543395623018336e-16,4.232197776351591803e-16
5.461274049836139271e-17,3.669148122889523458e-16,3.832626447867580850e-16
2.959840610223363825e-17,3.392648389538915347e-16,4.062607448711390117e-16
3.495727415356666034e-17,2.950377164089067355e-16,4.077477462271817356e-16
2.608537479330589785e-17,3.393817890993042345e-16,3.951668244039054903e-16
1.420010001079672209e-17,2.801350358590242737e-16,3.807058259123237899e-16
2.149327386935162391e-17,2.641377412577384801e-16,3.914536536416494257e-16
2.436860563774180194e-17,2.890788368529362685e-16,3.769480837651422261e-16
3.476602723010895617e-17,3.176683439521996885e-16,3.887546208489939602e-16
2.111003647934389372e-17,2.568348269593192151e-16,3.770536390274171555e-16
2.315999457537418694e-17,2.745757120565097449e-16,3.918314607138232059e-16
9.888428262611030273e-18,1.959851088381029429e-16,3.894625740763134493e-16
4.626934361983398074e-17,3.437988708703952923e-16,3.523459882643295290e-16
1.952522362625444998e-17,2.497119427988729842e-16,3.833337114882175845e-16
1.500157001300355040e-17,2.858750502980846780e-16,3.850997473314876080e-16
1.611456119509685235e-17,2.324763748333281317e-16,3.656448200943345324e-16
9.039403741473619175e-18,2.562817761027545474e-16,3.813726489613924263e-16
3.550079882393885884e-18,1.685012202401104047e-16,3.869713001647298035e-16
1.993472993760219317e-17,2.127536325956110191e-16,3.467483700221922465e-16
3.084311577455285349e-17,2.628281963444730477e-16,3.394770223500444838e-16
1.122733923365189163e-17,2.345260358444915840e-16,3.707353983150441115e-16
3.077203399611770234e-17,3.019635097220059486e-16,3.287213367210412720e-16
1.519515355788507962e-17,2.682774997507412526e-16,3.593857489931798187e-16
4.427390680509355796e-17,2.983144703147887257e-16,3.256331335657609004e-16
1.722434156827165182e-17,2.109918375448290595e-16,3.345397439289874666e-16
2.486575132834938637e-17,2.443619435348107612e-16,3.504116821101002232e-16
2.171527273188427243e-17,2.603776483860263153e-16,3.246618744583196286e-16
3.726837949950035946e-17,2.848407003632089473e-16,3.305937107527719352e-16
4.377716194797476048e-17,3.174388725396362106e-16,3.458597699668477313e-16
2.693935007372467826e-17,2.774486133898386070e-16,3.438686059013096837e-16
1.495933257175475764e-17,2.307874935729312032e-16,3.493903153631130060e-16
3.154432177101064378e-17,2.334024892387469107e-16,3.603327790666217217e-16
2.532915655288426255e-18,1.319773584888252963e-16,3.656970495159362574e-16
3.803281743581565429e-17,2.833738917024615231e-16,3.401051698506491068e-16
2.260693620500224526e-17,2.529629262054317631e-16,3.352755350270156878e-16
1.540319805089684264e-17,2.118906306647418141e-16,3.540481470834102400e-16
7.589724959345343617e-18,2.115516334505904149e-16,3.382950999389532489e-16
2.423318087949890506e-17,2.312921186091228732e-16,3.275794527743158190e-16
2.932347993798340734e-17,1.998644553350302067e-16,3.259348458415835544e-16
1.496885509997020335e-17,2.002964135022656041e-16,3.324221511569637102e-16
2.125520229405286953e-17,2.002154555042448528e-16,3.198788616328346816e-16
2.604322740188554035e-17,2.355335249081476095e-16,3.134022068053638178e-16
2.080461626246352581e-17,2.179308611333850994e-16,3.217664383272482582e-16
3.976218284893697926e-17,2.436460572421495175e-16,3.025533849292202812e-16
1.536413678345013053e-17,2.177103614609743663e-16,3.221279374728561807e-16
2.947191113403962460e-17,2.409783893172204422e-16,2.958930890721670446e-16
3.041380657982482402e-17,2.274857082254044987e-16,3.057743982429344920e-16
3.970771050720036997e-17,2.436092500417371172e-16,2.866186292287203996e-16
2.372872365774363955e-17,2.175998734362203679e-16,3.137256591054926378e-16
2.040590200031249289e-17,2.040236524095190525e-16,3.064151402790566805e-16
1.441762552171582936e-17,1.552731765538317269e-16,2.996895325227030026e-16
5.175726735212168862e-17,2.537779436004128222e-16,2.831592537286825490e-16
3.202651835671048474e-17,2.282638246436166905e-16,2.793644049261120466e-16
2.128596284152693162e-17,1.964406549833446550e-16,2.968510467756257527e-16
3.206756641340771420e-17,2.295866767309930040e-16,2.829617024842239218e-16
1.193701884789478355e-17,1.332076296342637779e-16,3.108772753791490656e-16
2.830397786829733121e-18,1.092787800661251393e-16,3.092081944332373892e-16
3.135867473924792964e-17,2.115459808134670201e-16,2.657395046318606006e-16
1.332386801675106906e-17,1.689102667591003524e-16,2.728844949798700328e-16
2.133574493892830927e-17,1.862591391226490915e-16,2.600239917816278141e-16
4.055844784711529865e-17,2.374878843366649847e-16,2.460642410505026725e-16
2.264917005361634315e-17,2.065882852564600445e-16,2.548131776945785700e-16
2.696411587024417506e-17,1.946012327767353113e-16,2.520152545381680562e-16
2.853350970254015832e-17,1.969389193356775752e-16,2.417296900834289354e-16
