# Flux, Flux Uncertainty, Sky Flux
2.293417761039382194e+94,6.394580540387288242e+92,-8.037396264050648456e+93
2.799458750948754701e+72,1.311506720312625126e+71,-1.287126094258867327e+70
4.540421352636692163e+53,2.139207557634092498e+52,-5.913714274673384543e+52
8.471670579425005648e+37,3.371430707893519551e+36,-2.154388244162879226e+37
9.568077991504732452e+24,3.037795297398576623e+23,-3.393257530195250472e+24
4.471270867795406250e+14,1.571383044117686523e+13,-2.398623478690195312e+14
2.428639788763325661e+06,8.551466326774170739e+04,-1.280776052722286666e+06
1.809711163822418811e+00,6.424166723429507175e-02,-7.348771364201335254e-01
4.761170587297173601e-05,1.680633075204833815e-06,-1.778129120247541373e-05
3.585803080282149233e-08,1.224343525315656485e-09,-1.637147865737638910e-08
4.140432553733148023e-10,1.333722639669567604e-11,-1.744692300933126173e-10
3.039486474711530123e-11,9.176269236111979219e-13,-1.077368758645318368e-11
1.072456678067191442e-11,2.858764288694493212e-13,-3.541354122966369607e-12
6.589740450634126439e-12,1.906241767077894352e-13,-2.094679524752585599e-12
4.554241248131859140e-12,1.305534948440890432e-13,-1.389519580123795495e-12
3.836455300629008358e-12,1.042660579751852095e-13,-1.093059398603032346e-12
3.198173784443960283e-12,4.036905168161512289e-14,-9.020386756569157061e-13
3.077637912345617934e-12,7.338355990412483853e-14,-7.378161855464297162e-13
2.942131864737522719e-12,7.000161313010181649e-14,-7.833993272357892123e-13
2.875823369693087159e-12,3.854654634233765108e-14,-6.848065358449479172e-13
2.915307693415052948e-12,3.715789508933790734e-14,-6.559624851639541894e-13
2.904914458086249211e-12,4.996305268769521380e-14,-5.951176511035247210e-13
2.943958257289407685e-12,6.306637252781205132e-14,-5.095473158096752915e-13
2.756640668175641040e-12,5.925889158634033908e-14,-4.061832703897199270e-13
2.850868987066111628e-12,5.358588940150525747e-14,-3.754636192030485142e-13
2.884196432780526399e-12,4.642322466027792139e-14,-3.182659797698739589e-13
2.885756643538333342e-12,4.220741806765078819e-14,-2.967548314127677630e-13
3.059197197944920790e-12,4.689274497630884794e-14,-2.566892176219311201e-13
3.199421649730771144e-12,4.717882710561241759e-14,-2.810661242660146500e-13
3.369263296368470326e-12,4.394575660030486498e-14,-2.485478148328008751e-13
3.477169829223491832e-12,5.273325430947895653e-14,-2.508513856001154028e-13
3.839430452180913976e-12,5.526445290606291906e-14,-2.250739716395116558e-13
3.903872532500171265e-12,4.741461491236136426e-14,-2.190964807164682866e-13
4.099048434034174115e-12,5.025507610827508626e-14,-1.974457687306810239e-13
4.157585466299426411e-12,4.998476412238161462e-14,-1.677643205540377021e-13
4.409437199916421477e-12,5.641779408554639316e-14,-1.220638672581526523e-13
4.713955701636124257e-12,5.395772668787084101e-14,-2.744149427643022848e-13
4.936501491378867864e-12,5.496068707152361643e-14,-2.955523431958802982e-13
5.081362902436854826e-12,5.150223733136765856e-14,-2.911653887666991974e-13
5.239109664676298949e-12,4.661243157297589150e-14,-2.542732256110366420e-13
5.485441231584078583e-12,5.673051778176001801e-14,-1.736742818416645901e-13
5.384865940933712281e-12,5.548861629684657453e-14,-1.426198707908930491e-13
5.525887631279011946e-12,5.587457176635334999e-14,-1.254244109070333906e-13
5.842671340359553430e-12,5.649446249072314930e-14,-1.309646947833092479e-13
6.087974470241425944e-12,5.687835602390842938e-14,-1.180945561080298358e-13
6.250608290819978630e-12,5.676969877231320809e-14,-1.297109041407783738e-13
6.278193409956960313e-12,5.369273332512242380e-14,-1.232494893128347092e-13
6.572315665808530124e-12,5.664249178562028843e-14,-1.084915352458460729e-13
6.612528428065613135e-12,5.278951749417578000e-14,-1.049868291686470884e-13
6.720885827942768200e-12,5.567375997059185479e-14,-6.300120606373483075e-14
6.965979022788745903e-12,5.586626588585360948e-14,-8.315162769580294269e-14
7.104729967169361592e-12,5.587778086847107516e-14,-7.769881113381353414e-14
7.245584396806700371e-12,5.580450601960384588e-14,-5.516350351628875229e-14
7.427709136607160280e-12,5.585202639604477562e-14,-4.428665264939176440e-14
7.587993018001908626e-12,5.589198330702436626e-14,-2.703261559510247881e-14
