# Count, Count Uncertainty, Sky Count
1.011607940494445995e-01,1.836317087054756314e+01,5.589586650798377150e+02
1.114390060887874428e-01,1.836317086964499623e+01,5.590278692857224314e+02
3.853050330093761577e-02,1.836317086877380333e+01,5.592024204923566231e+02
5.730635643121571865e-02,1.836317086793378550e+01,5.591594250288602552e+02
2.157408501738586858e-04,1.836317086712472957e+01,5.592353046660196014e+02
1.098113444464998006e-01,1.836317086634641882e+01,5.588543416473339676e+02
7.646802282862096012e-02,1.836317086559864009e+01,5.592508612741486331e+02
8.573076645569521759e-02,1.836317086488116601e+01,5.591381170101983571e+02
1.433776073052571605e-02,1.836317086419376210e+01,5.594811835745786084e+02
7.886388624361832800e-02,1.836317086353618677e+01,5.592779333760094005e+02
4.549830873957304289e-02,1.836317086290819134e+01,5.590781028631992058e+02
1.044537219422184138e-01,1.836317086230953066e+01,5.591914524851221131e+02
3.850989613557674607e-02,1.836317086173995250e+01,5.593369507504675084e+02
5.687174538014982961e-02,1.836317086119919040e+01,5.592232561436849210e+02
1.175003107164974275e-02,1.836317086068698146e+01,5.591943029220060453e+02
2.882302597514545955e-02,1.836317086020305211e+01,5.593646741644450913e+02
4.317375154243696667e-02,1.836317085974712882e+01,5.591224086145414276e+02
6.931282246324349527e-02,1.836317085931893445e+01,5.589660348271556813e+02
1.377328324110354552e-01,1.836317085891818479e+01,5.591926877176159678e+02
3.629318487880391769e-02,1.836317085854459563e+01,5.592264915463115358e+02
3.915356418831842517e-03,1.836317085819786499e+01,5.594038395487680191e+02
7.940701134045644038e-02,1.836317085787771575e+01,5.594414259383854642e+02
2.897288492682218233e-02,1.836317085758383527e+01,5.591228054782031904e+02
8.034058824241979702e-02,1.836317085731592869e+01,5.594347442242345778e+02
1.172551710615740983e-01,1.836317085707369401e+01,5.590772810105164581e+02
1.015413534571660004e-01,1.836317085685682216e+01,5.589223891298978515e+02
4.293464622439092243e-02,1.836317085666500759e+01,5.595048703745950434e+02
2.109400248625815585e-02,1.836317085649793768e+01,5.593975979514460732e+02
5.789670125950410057e-02,1.836317085635528912e+01,5.592623207088495292e+02
3.962543550054086622e-02,1.836317085623675993e+01,5.594165028780081457e+02
3.794704817988638762e-02,1.836317085614202327e+01,5.590314251127489342e+02
8.164114451905196690e-02,1.836317085607076649e+01,5.592217652311325082e+02
8.439695949861053537e-02,1.836317085602265919e+01,5.591225008693946847e+02
1.371320303696884069e-01,1.836317085599738519e+01,5.591029141636615805e+02
