# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
1.025456036935880078e-06,2.147757950088181661e-04,7.527527932258010375e-03,1.346176656993779314e-05
2.153883268022714522e-07,1.012583313835135239e-04,3.547386154520749089e-03,6.346695154141843017e-06
1.321121337652631342e-08,4.880001737788867240e-05,1.710215668904491648e-03,3.058700826397940596e-06
5.209614921940887988e-08,2.403485707823678594e-05,8.420872198529010108e-04,1.506463864693945181e-06
4.875742734093279604e-09,1.209435814750199291e-05,4.240002063188663488e-04,7.580540117932419411e-07
2.257940282507973823e-08,6.216271341337160833e-06,2.178245539146932543e-04,3.896255591779148892e-07
2.653887410553685818e-09,3.262630528290335044e-06,1.143458542847282752e-04,2.044963309230863278e-07
6.035062429228096881e-09,1.748156708882461292e-06,6.127300544977791160e-05,1.095716331488255042e-07
1.422697239185285586e-09,9.559824273442197148e-07,3.352822000006862660e-05,5.991945175002777306e-08
2.791946050316436343e-12,5.334060119711482008e-07,1.872479459275351176e-05,3.343304828819856740e-08
8.802269658994558221e-10,3.035879605237834087e-07,1.064100982308150322e-05,1.902842140643749876e-08
9.278932446880736739e-10,1.762011953039944833e-07,6.176770748055298619e-06,1.104402071578713521e-08
2.744583300722680368e-10,1.042578322424705983e-07,3.655747807475993858e-06,6.534723233474498614e-09
2.873114617070951302e-10,6.287250780355242493e-08,2.203671611054843060e-06,3.940755006703400552e-09
5.306007265607027060e-13,3.863142281312417936e-08,1.355308769128104111e-06,2.421360760796433560e-09
2.828751800969667589e-12,2.417814026772524212e-08,8.474722098289263711e-07,1.515450769083044329e-09
4.616372379039080730e-11,1.540922037444222671e-08,5.400058053208967436e-07,9.658279033765522075e-10
3.324759883976162686e-11,9.997380513087073266e-09,3.503361485877060833e-07,6.266217220891992820e-10
3.845212705484151596e-12,6.601013935515146982e-09,2.313997900407998301e-07,4.137423852590384181e-10
3.052984511458765363e-12,4.434288408394282938e-09,1.554338602481140646e-07,2.779351280958303771e-10
1.259549581831762689e-11,3.029667570815458712e-09,1.062088141639658804e-07,1.898954772992884516e-10
3.543028056805395224e-12,2.104706715436245347e-09,7.381645735930795580e-08,1.319202202911918154e-10
2.310736942503635474e-12,1.486211090098866359e-09,5.209405735918278417e-08,9.315376573747688657e-11
3.361015373322088267e-12,1.066417786388199611e-09,3.737787641337832215e-08,6.684169191671497717e-11
5.810695716278277723e-12,7.773146334070019753e-10,2.724054223619995662e-08,4.872109420309210367e-11
1.101927889961255438e-12,5.753769358404246297e-10,2.017033361640009154e-08,3.606390688831088396e-11
