# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
1.025456036935880078e-06,2.147757950088181661e-04,7.527527932258010375e-03,1.346176656993779314e-05
2.731206884334318487e-07,1.093485578911066543e-04,3.831045139542776576e-03,6.853776069563732442e-06
5.656633704782685839e-08,6.004924659461251447e-05,2.104180901959468251e-03,3.763782614808315604e-06
3.814107929099043910e-08,3.292260592695687809e-05,1.153642143392317413e-03,2.063532428046607269e-06
2.870220571604637967e-08,1.811929263949277452e-05,6.349584655261816509e-04,1.135686501276636553e-06
1.104495440780806650e-08,1.004601551341788189e-05,3.521539759286220557e-04,6.296673900934517238e-07
1.858873238208041511e-08,5.624717906123659251e-06,1.970999011515201091e-04,3.525479868309918541e-07
2.825832795719291955e-09,3.185613874978077600e-06,1.116469015880000256e-04,1.996690553072493700e-07
6.035062429228096881e-09,1.748156708882461292e-06,6.127300544977791160e-05,1.095716331488255042e-07
1.883001260975363856e-09,1.035039698988257532e-06,3.629708928946795155e-05,6.487463154321864207e-08
3.601353667725420601e-10,6.397545850175588908e-07,2.245032945696748541e-05,4.009880413926812254e-08
5.250887932298236683e-10,3.966058604151570191e-07,1.391288806638380242e-05,2.485863418920976340e-08
9.012465592124148116e-10,2.474136992551919037e-07,8.672396115579803115e-06,1.550750767810898855e-08
7.413370352398616692e-10,1.556613055498546419e-07,5.457016610027663589e-06,9.756612548947401777e-09
2.761143605106583227e-10,9.892564091971148394e-08,3.468658586852154788e-06,6.200509715571163453e-09
2.873114617070951302e-10,6.287250780355242493e-08,2.203671611054843060e-06,3.940755006703400552e-09
8.845117362018949914e-12,3.933423437357958188e-08,1.379904995452228696e-06,2.465411917802585956e-09
2.396707497103721964e-12,2.689530645642353676e-08,9.429436934852029195e-07,1.685758655319667549e-09
3.107617582207243593e-11,1.846221645235698547e-08,6.470536217540935475e-07,1.157185159886505609e-09
3.982808172119483655e-11,1.275459443760633765e-08,4.469686861352214873e-07,7.994398449991221693e-10
2.360184193220790709e-11,8.883167325538782457e-09,3.113178458971071816e-07,5.567844536332513433e-10
3.714920951603677662e-12,6.244669044945491580e-09,2.189062505499131869e-07,3.914071971668510146e-10
3.052984511458765363e-12,4.434288408394282938e-09,1.554338602481140646e-07,2.779351280958303771e-10
1.259297788414582373e-11,3.030038201008248647e-09,1.062218029277889555e-07,1.899187078764484319e-10
5.046737269232662512e-12,2.258352350638814720e-09,7.919716531901884680e-08,1.415505145217398718e-10
