# Pesampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
8.974908549256225330e-14,1.608875262493882981e-11,4.898069031214111553e-10,8.761424015080306451e-13
4.055084780637328951e-14,1.758533375240141871e-11,5.355070582916611848e-10,9.576414595405375825e-13
4.282593676342822390e-14,1.906071450177213313e-11,5.804218011236893993e-10,1.037986012279201365e-12
4.398976388545060801e-14,2.049449047212267498e-11,6.239908198949339648e-10,1.116064900813197901e-12
1.135656932482360122e-13,2.186708580938167155e-11,6.656950352359081843e-10,1.190812086263515683e-12
1.023769510542357411e-13,2.316033135606761829e-11,7.052763027105634660e-10,1.261238133982375187e-12
5.861645260417271613e-14,2.435797040537694387e-11,7.419378735736187152e-10,1.326457755315621447e-12
7.847846980415640225e-14,2.544607248823778680e-11,7.750953642146736639e-10,1.385712341132338180e-12
7.845524112217428941e-14,2.641334198650849939e-11,8.042484703124719197e-10,1.438386767920129481e-12
1.377081247545342834e-13,2.725131501316181941e-11,8.298180981078420803e-10,1.484020119255086296e-12
7.110892947252957210e-14,2.795444443237034113e-11,8.514568634088034940e-10,1.522310315725818982e-12
8.524099268145690875e-14,2.852928793313313616e-11,8.688252363306918189e-10,1.553614468261084999e-12
2.120851731691143663e-14,2.896627368365636395e-11,8.821061091357535355e-10,1.577411325281787677e-12
4.987903603152329945e-14,2.924304059827902298e-11,8.907116611561277705e-10,1.592483173033117288e-12
7.949510728476808928e-14,2.939152348655153479e-11,8.948518670285799070e-10,1.600569079883109069e-12
1.463770304564388026e-13,2.941912965480500198e-11,8.956211165965340196e-10,1.602072424223093677e-12
1.558464533126034266e-13,2.933483548831202848e-11,8.933216579284115874e-10,1.597482031503385794e-12
3.347210060055686205e-14,2.914883508881502574e-11,8.878220862069979861e-10,1.587353040148304996e-12
7.063767188127807964e-14,2.887219586857890845e-11,8.795761305350407929e-10,1.572288146301430013e-12
7.499423999426976289e-14,2.851653304567905648e-11,8.684624560609634580e-10,1.552919877872135008e-12
9.861041044571863970e-14,2.809371240983671312e-11,8.557285077828753184e-10,1.529894408106395623e-12
1.632771781066599545e-13,2.761558812087291077e-11,8.408988835384154478e-10,1.503857276922814108e-12
1.535502031008534126e-13,2.709377981900739351e-11,8.246939357104770354e-10,1.475441253046940523e-12
6.937508245230000637e-14,2.653949108612003843e-11,8.085552345937749291e-10,1.445256447987762409e-12
3.329673009419614144e-14,2.592948369175293862e-11,7.898805194033939218e-10,1.412037381473638671e-12
7.653791799268627868e-14,2.533500442454957180e-11,7.716222350946153980e-10,1.379663927474871729e-12
5.293565597395272713e-14,2.474567453950138582e-11,7.537472998314638892e-10,1.347570892481404423e-12
6.583330403861353627e-14,2.416366931643684352e-11,7.356857087113670537e-10,1.315876735328671469e-12
1.061436051930337622e-13,2.359660321176637448e-11,7.185533093079377127e-10,1.284996115144624913e-12
1.338241548833709866e-13,2.305138764032595335e-11,7.018591425782322087e-10,1.255305405644528635e-12
1.530893081687787020e-13,2.253428670422911741e-11,6.861108267755546371e-10,1.227145729947348899e-12
6.782098465435990111e-14,2.205099055762484006e-11,6.715735258117398129e-10,1.200826955787602507e-12
1.197051733968976877e-13,2.160670351471589571e-11,6.579337479297741125e-10,1.176632493598378391e-12
5.216331301562474572e-14,2.120624464352346881e-11,6.460010045779968247e-10,1.154824774528470145e-12
3.969850357808620316e-14,2.085415931019053685e-11,6.353250574214374598e-10,1.135651324791091124e-12
5.525804177101352234e-14,2.055484093261781465e-11,6.263232094671093567e-10,1.119351395980440488e-12
6.066441427475891940e-14,2.031228588740756794e-11,6.185902228749712490e-10,1.106142618081767582e-12
6.194652343426895552e-14,2.012442880650262656e-11,6.128574892941002753e-10,1.095912517705539036e-12
6.020585376305988892e-14,2.001535518335086699e-11,6.096637368042338755e-10,1.089972714378548376e-12
5.386897129127716811e-14,1.996773920192698210e-11,6.084167141571633413e-10,1.087379699151746664e-12
1.136280475804944002e-13,1.997967556535475358e-11,6.087071217070712956e-10,1.088029715604609167e-12
4.146585637288969091e-14,2.004978763670603766e-11,6.107689148990664670e-10,1.091847796459392712e-12
7.817430426022901052e-14,2.017718624870495609e-11,6.148607921886306564e-10,1.098785520488364935e-12
8.149618091049645337e-14,2.036143612441835542e-11,6.202999220128785428e-10,1.108819183891186128e-12
8.043997266559057297e-14,2.060252886887704958e-11,6.276262055084430894e-10,1.121948329504327533e-12
8.066210652884775008e-14,2.090086165731816867e-11,6.363732778955733986e-10,1.138194586230392106e-12
6.609274748674805802e-14,2.125722088153582410e-11,6.473921482250228525e-10,1.157600778470275184e-12
1.842182706892614529e-14,2.167277012670647363e-11,6.602427616836274727e-10,1.180230271379237667e-12
1.635147578172744609e-13,2.214904194108295444e-11,6.743972193894304764e-10,1.206166522670560150e-12
2.545147992680312065e-14,2.268793293339361444e-11,6.909647235810452959e-10,1.235512815635461293e-12
7.802403268945554376e-14,2.332667721892992464e-11,7.105648515722803722e-10,1.270296802009003523e-12
1.055273752464897932e-13,2.401403040779028022e-11,7.312310891225333853e-10,1.307727874970040055e-12
2.451941548499694638e-13,2.476390859857619401e-11,7.542590505686856848e-10,1.348563861077509728e-12
1.079163372761212143e-13,2.557920953813511653e-11,7.793121326959793610e-10,1.392962562426519683e-12
8.409589067579227052e-14,2.644349549846020934e-11,8.054880866192861062e-10,1.440028832523221810e-12
6.791986531506421232e-14,2.733638990580606751e-11,8.326659493286879579e-10,1.488653027836932892e-12
9.390001260493373831e-14,2.823457963267636091e-11,8.600032080649798646e-10,1.537565589440510139e-12
1.265820738169735107e-13,2.911167923478047306e-11,8.865021532992932655e-10,1.585329649785966482e-12
1.339197820569154184e-13,2.993831462168201148e-11,9.118256455134566292e-10,1.630345589142441920e-12
1.976166808179556727e-13,3.068247001010812308e-11,9.342770103003448570e-10,1.670869929572229007e-12
6.908513394052165891e-14,3.131013634659786675e-11,9.537067433335576824e-10,1.705050645970116472e-12
7.587181322499783890e-14,3.178628642769945083e-11,9.680493682982604210e-10,1.730980268014295865e-12
2.339204029155198810e-14,3.207618087365901143e-11,9.770525927855230721e-10,1.746766999348262379e-12
1.526018423973220356e-13,3.214607807206155597e-11,9.788021276261994170e-10,1.750573378857836698e-12
7.208869323574747228e-14,3.194092495558320499e-11,9.732204386891604430e-10,1.739401391235637143e-12
6.717828327722206467e-14,3.147141272748018742e-11,9.585531570563956697e-10,1.713833245484936849e-12
6.070635261389245386e-14,3.077558658829480726e-11,9.378666325220592842e-10,1.675940762468219646e-12
3.631767551388290011e-14,2.990313289961383316e-11,9.110372097148080487e-10,1.628429703732004651e-12
3.896236412132465125e-14,2.890317308600413442e-11,8.806472941558943414e-10,1.573975066145489671e-12
8.654501136319715532e-14,2.782216909056706077e-11,8.475283678180040911e-10,1.515107019658227439e-12
5.802196203440862516e-14,2.670248730781699261e-11,8.132101908626292781e-10,1.454132703642857503e-12
8.385550702244936879e-14,2.558157468289539279e-11,7.791738482655078200e-10,1.393091359873438470e-12
6.094815153221285412e-14,2.449167021989826796e-11,7.462817984332145438e-10,1.333738622184689315e-12
9.359225922755923335e-14,2.345995460734550141e-11,7.146852293112880670e-10,1.277554664600172609e-12
1.215421065915699403e-13,2.250903718590741920e-11,6.858063972179201014e-10,1.225770720049066096e-12
6.746029565676229798e-14,2.165768877148527775e-11,6.597554673236363327e-10,1.179408987585139565e-12
1.535954256032191204e-13,2.092174673972105863e-11,6.372379842352431747e-10,1.139331920416396794e-12
1.475166631333049345e-13,2.031268792283974550e-11,6.182041185825757129e-10,1.106164510396859955e-12
4.845463093615805852e-14,1.978968927630606916e-11,6.027224747706228431e-10,1.077683664093675937e-12
3.271106122534158709e-14,1.933851643479669766e-11,5.891410731322524665e-10,1.053114223155011164e-12
3.693485331561605109e-14,1.890062142276952677e-11,5.755983832740849633e-10,1.029267850667530601e-12
2.755201325090381569e-14,1.842674966576260251e-11,5.613264527189903086e-10,1.003462298843154554e-12
2.179132220371237277e-14,1.787998394587965118e-11,5.447718622012619080e-10,9.736871731737930619e-13
4.196144396786681500e-14,1.722890768725584583e-11,5.248655371073980496e-10,9.382316266572410705e-13
3.165456635268289327e-14,1.644929209261144877e-11,5.011265703453491753e-10,8.957762358987111100e-13
4.173681202944931385e-14,1.552606491512362121e-11,4.729571271639573207e-10,8.455002141778358107e-13
2.400699487880812104e-14,1.445519735635123100e-11,4.402928882421410449e-10,7.871841659203618071e-13
1.486131433024105154e-14,1.324714311439991695e-11,4.035496951180977167e-10,7.213973663452270577e-13
3.584937505865349221e-14,1.194121922644601495e-11,3.637948696878874600e-10,6.502808965020619500e-13
1.631247545316824485e-14,1.059742192815748552e-11,3.229668935931265045e-10,5.771019609521894289e-13
2.426018485340603202e-14,9.271507604020582625e-12,2.826001393736587775e-10,5.048968754187124372e-13
2.360438698317509327e-14,8.007090112380162237e-12,2.439520219150608157e-10,4.360407121921497053e-13
1.983946412547554585e-14,6.835205064991219094e-12,2.081861656490859997e-10,3.722235721779776643e-13
3.799576571091181524e-15,5.741405374018133003e-12,1.748978469541052177e-10,3.126587128282081585e-13
2.407000405025473532e-14,4.793606427698897846e-12,1.459506191474877502e-10,2.610445906156718936e-13
1.373167011033432962e-14,3.989315862002829963e-12,1.214965179183977152e-10,2.172454793050846679e-13
3.156749060675893698e-15,3.300899458090979805e-12,1.005339798961381272e-10,1.797565070512732704e-13
4.129776705024388845e-15,2.719215845146866548e-12,8.283907447082518522e-11,1.480798638145104127e-13
4.840832465335617483e-15,2.233135523602944206e-12,6.800400973665596174e-11,1.216094723739322546e-13
3.393968640547072725e-15,1.830764230214859381e-12,5.577186800344576057e-11,9.969760890639661937e-14
4.781386714773936108e-15,1.500325739901622673e-12,4.570895758526961508e-11,8.170297757258603777e-14
5.272770417836981076e-15,1.230746685741560317e-12,3.748624328641896491e-11,6.702255795769296817e-14
1.508400720007484205e-15,1.011999877348548985e-12,3.082771475453599921e-11,5.511030110044429038e-14
3.452315314019049604e-15,8.352648062506362031e-13,2.544452480621121789e-11,4.548587010654310824e-14
