# Count, Count uncertainty, Sky count
1.486813850976444362e+00,1.989119874134452857e+03,1.121285402985940709e+04
2.629133468464610157e+00,1.989119874405794462e+03,1.121020702176185478e+04
2.812753077654230438e+00,1.989119874670337595e+03,1.120959388926011889e+04
8.901290542530888583e-01,1.989119874928197305e+03,1.121142288195677429e+04
1.334446443131552251e-01,1.989119875179487508e+03,1.122000084411095668e+04
-1.500449206830287430e-01,1.989119875424318252e+03,1.121020347067955117e+04
2.971844928073661199e-02,1.989119875662797995e+03,1.120959657047413748e+04
-3.406217479818373084e-01,1.989119875895034284e+03,1.121081127063902932e+04
1.166208592624696339e+00,1.989119876121131938e+03,1.120775607213269905e+04
-3.126805063471093660e-01,1.989119876341192594e+03,1.120468574586712930e+04
2.091548416380969222e+00,1.989119876555317887e+03,1.121082279257246591e+04
-5.422628841234385932e-01,1.989119876763606953e+03,1.120774011674699068e+04
3.290534370414212595e-01,1.989119876966156653e+03,1.121755463735759622e+04
1.141654655127548157e+00,1.989119877163062483e+03,1.120409441337702810e+04
9.134573238224737990e-01,1.989119877354417895e+03,1.121387640813083271e+04
-6.469206521778464447e-01,1.989119877540314064e+03,1.121143679476605212e+04
1.165822523108964059e+00,1.989119877720842624e+03,1.120413717889865256e+04
1.112193857903522209e+00,1.989119877896090429e+03,1.120958862093809512e+04
-5.233876486889819102e-01,1.989119878066145247e+03,1.121511010736660683e+04
2.476936236416233950e+00,1.989119878231092116e+03,1.120959632405455159e+04
-1.168999123484060210e+00,1.989119878391014709e+03,1.121264683122195493e+04
2.439033910564651464e+00,1.989119878545995107e+03,1.120652349967793452e+04
-7.688159420377460584e-01,1.989119878696113574e+03,1.121509983014684985e+04
8.656362210004957536e-01,1.989119878841450372e+03,1.121632093095672280e+04
2.396152408755485741e+00,1.989119878982082582e+03,1.121326316195519030e+04
7.909247616061878539e-01,1.989119879118086374e+03,1.121449923153611599e+04
-2.520550186160745443e-01,1.989119879249537235e+03,1.121325768433884878e+04
1.312902358225680688e+00,1.989119879376508834e+03,1.120469070618483966e+04
-1.030975505458904262e-01,1.989119879499073477e+03,1.121020196962775481e+04
-4.916027639912790015e-02,1.989119879617302786e+03,1.121143197344668260e+04
-6.103757942520763313e-01,1.989119879731266337e+03,1.121817869283626169e+04
6.730839734444674649e-01,1.989119879841032798e+03,1.120959351137005615e+04
2.939171263137524637e+00,1.989119879946670380e+03,1.120652630407883771e+04
1.137016314152772933e+00,1.989119880048245022e+03,1.120775148297866690e+04
-1.896773031805394583e+00,1.989119880145822435e+03,1.120775592175966995e+04
4.697315494748536824e-01,1.989119880239466511e+03,1.121388193971771580e+04
-1.618063373787489434e+00,1.989119880329240914e+03,1.121388004994239054e+04
2.150404018544066265e+00,1.989119880415207717e+03,1.121327217452632976e+04
-9.400157980207518582e-01,1.989119880497428767e+03,1.121572460721727657e+04
-5.712129955505218515e-01,1.989119880575963634e+03,1.121142564113495246e+04
2.863359840944068035e-01,1.989119880650872346e+03,1.121509345374749682e+04
1.376871934387684959e+00,1.989119880722212656e+03,1.121143843705111613e+04
5.230001641332976403e-01,1.989119880790043226e+03,1.121020796126612186e+04
-1.004916274810749410e+00,1.989119880854419762e+03,1.121265668763502254e+04
7.396845457888223674e-02,1.989119880915399108e+03,1.121325611505325105e+04
1.638240955946479727e-01,1.989119880973035833e+03,1.120776419280114715e+04
-8.723188228727056792e-01,1.989119881027384963e+03,1.121304991357852668e+04
-5.091356316567978713e-01,1.989119881078499702e+03,1.121693637959820808e+04
-9.231071300195309304e-01,1.989119881126432574e+03,1.121632914100225207e+04
1.391842419747663984e+00,1.989119881171237466e+03,1.121203742389635954e+04
1.274406378600046574e+00,1.989119881212964856e+03,1.120836843317710009e+04
-1.335008615497759621e+00,1.989119881251666129e+03,1.121570915750167114e+04
-4.434656379158677386e-01,1.989119881287391081e+03,1.121143674195838139e+04
9.965451698855315454e-01,1.989119881320189734e+03,1.120898071333507869e+04
-1.664295300044966286e+00,1.989119881350111882e+03,1.121509151960054442e+04
1.678539089805767492e+00,1.989119881377205502e+03,1.121572120636412910e+04
5.154860057527417272e-01,1.989119881401519706e+03,1.121696130781901593e+04
-2.960785559993984184e-01,1.989119881423100423e+03,1.121082752143684775e+04
-1.047070953066710608e+00,1.989119881441996313e+03,1.121020844478050640e+04
-9.839200639668367956e-03,1.989119881458253758e+03,1.121142022534656644e+04
-1.491696624089691392e+00,1.989119881471918916e+03,1.121815695154411696e+04
1.831806462928235180e-01,1.989119881483037716e+03,1.121265714652103998e+04
1.063904350041984248e+00,1.989119881491655406e+03,1.121632103814082802e+04
1.257781504242359016e+00,1.989119881497817687e+03,1.121448202493317876e+04
-1.567209051831761402e+00,1.989119881501568671e+03,1.121693500110775130e+04
9.129939217916517302e-01,1.989119881502953149e+03,1.120714152601651404e+04
2.571286643949302619e-01,1.989119881502015460e+03,1.121082460464801807e+04
1.662134143539570008e+00,1.989119881498798577e+03,1.120775991729327870e+04
9.026214975045292466e-01,1.989119881493346838e+03,1.120959449932761709e+04
-2.088909672934335493e+00,1.989119881485702763e+03,1.121816067108357129e+04
1.303613816298390127e+00,1.989119881475910461e+03,1.121080058943640688e+04
7.395663080712094883e-01,1.989119881464011996e+03,1.121699462054152355e+04
1.308968733921656247e+00,1.989119881450049661e+03,1.121265554803067971e+04
-5.028465006024991357e-01,1.989119881434066656e+03,1.121142509596189848e+04
1.517720394842582365e+00,1.989119881416105045e+03,1.121877848631342567e+04
4.058483572594953515e+00,1.989119881396206665e+03,1.122061254062676744e+04
4.114776778382544187e+00,1.989119881374413126e+03,1.120958422294955562e+04
4.311809939398933089e+00,1.989119881350767400e+03,1.120715670894443610e+04
