# Flux, Flux Uncertainty, Sky Flux
1.488871980235756792e-13,1.824105341873551415e-09,1.539622926283167489e-12
6.352034992327438220e-14,1.631827105203050265e-09,1.484376261132701795e-12
1.583880145481563313e-13,1.699862562427651838e-09,1.433104214237162520e-12
1.011963353825349832e-13,1.603868235320266611e-09,1.386664346728628670e-12
7.195173722349341536e-14,1.592000918717728237e-09,1.343965868701896111e-12
1.038195294017791866e-13,1.529820654023908388e-09,1.302845779518078713e-12
1.043935490682430654e-13,1.468481126254033547e-09,1.265815395807468914e-12
5.925106683989403111e-14,1.272585459480302984e-09,1.231554172130050341e-12
1.128541662440743350e-13,1.408638165252915851e-09,1.199076901411252524e-12
1.128844910883232779e-13,1.276229485987284654e-09,1.168228603638024709e-12
7.033363140818645564e-14,1.156882808515673139e-09,1.140932764609626253e-12
9.591579374875817343e-14,1.315699907479967720e-09,1.114283957977915712e-12
5.344566874079706743e-14,1.249595250733693117e-09,1.090116962661430342e-12
1.176295808772355909e-13,1.260277520513162824e-09,1.065245909706968311e-12
1.419122811481881246e-13,1.118087499429222053e-09,1.043793907685242345e-12
9.184369779204383907e-14,9.081964560582499535e-10,1.021603064302652696e-12
1.253042573600764220e-13,1.184657044258032319e-09,1.000854797501823538e-12
nan,nan,9.814457932449127528e-13
4.287932068584740172e-14,9.355563189298912987e-10,9.623597733580790203e-13
6.585043130387883497e-14,1.005373529564408159e-09,9.431888235706566110e-13
5.808272692660474582e-14,1.033160992350368201e-09,9.252537249641243227e-13
9.497552231900479942e-14,9.684909437285377893e-10,9.066562810739079393e-13
4.281969122946644722e-14,9.793181568979616105e-10,8.896874162298251754e-13
9.132359421936676143e-14,1.000507442105541785e-09,8.717282978531146077e-13
4.941075597949088868e-14,1.010319393717593953e-09,8.547024769774333126e-13
3.573774737567404402e-14,9.972526616631918998e-10,8.370973558672568320e-13
3.801034321602317399e-14,8.154767325824664258e-10,8.193226838673879965e-13
1.223909431508812825e-13,9.466172315927609303e-10,8.009653449165779141e-13
2.935864429906409083e-14,8.680638139494686642e-10,7.837959647823831047e-13
4.538732796799740662e-14,8.670662899767723563e-10,7.656386654836788320e-13
