# Pixel positions of the trace in the spatial direction, Width of the trace
7.891866288745582381e+01,1.028772292665654842e+00
7.891967503851664389e+01,1.028772292665654842e+00
7.892068173249020901e+01,1.028772292665654842e+00
7.892168296823919604e+01,1.028772292665654842e+00
7.892267874462622501e+01,1.028772292665654842e+00
7.892366906051394437e+01,1.028772292665654842e+00
7.892465391476500258e+01,1.028772292665654842e+00
7.892563330624204809e+01,1.028772292665654842e+00
7.892660723380772936e+01,1.028772292665654842e+00
7.892757569632466641e+01,1.028772292665654842e+00
7.892853869265552191e+01,1.028772292665654842e+00
7.892949622166293011e+01,1.028772292665654842e+00
7.893044828220955367e+01,1.028772292665654842e+00
7.893139487315801262e+01,1.028772292665654842e+00
7.893233599337096962e+01,1.028772292665654842e+00
7.893327164171105892e+01,1.028772292665654842e+00
7.893420181704094318e+01,1.028772292665654842e+00
7.893512651822322823e+01,1.028772292665654842e+00
7.893604574412059094e+01,1.028772292665654842e+00
7.893695949359567976e+01,1.028772292665654842e+00
7.893786776551111473e+01,1.028772292665654842e+00
7.893877055872954429e+01,1.028772292665654842e+00
7.893966787211363112e+01,1.028772292665654842e+00
7.894055970452599524e+01,1.028772292665654842e+00
7.894144605482929933e+01,1.028772292665654842e+00
7.894232692188617762e+01,1.028772292665654842e+00
7.894320230455929277e+01,1.028772292665654842e+00
7.894407220171125061e+01,1.028772292665654842e+00
7.894493661220474223e+01,1.028772292665654842e+00
7.894579553490237345e+01,1.028772292665654842e+00
7.894664896866680692e+01,1.028772292665654842e+00
7.894749691236069111e+01,1.028772292665654842e+00
7.894833936484664605e+01,1.028772292665654842e+00
7.894917632498734861e+01,1.028772292665654842e+00
7.895000779164541882e+01,1.028772292665654842e+00
7.895083376368351935e+01,1.028772292665654842e+00
7.895165423996427023e+01,1.028772292665654842e+00
7.895246921935033413e+01,1.028772292665654842e+00
7.895327870070435949e+01,1.028772292665654842e+00
7.895408268288896636e+01,1.028772292665654842e+00
7.895488116476681739e+01,1.028772292665654842e+00
7.895567414520056104e+01,1.028772292665654842e+00
7.895646162305283156e+01,1.028772292665654842e+00
7.895724359718627738e+01,1.028772292665654842e+00
7.895802006646354698e+01,1.028772292665654842e+00
7.895879102974726038e+01,1.028772292665654842e+00
7.895955648590009446e+01,1.028772292665654842e+00
7.896031643378468345e+01,1.028772292665654842e+00
7.896107087226364740e+01,1.028772292665654842e+00
7.896181980019966318e+01,1.028772292665654842e+00
7.896256321645536502e+01,1.028772292665654842e+00
7.896330111989338718e+01,1.028772292665654842e+00
7.896403350937639232e+01,1.028772292665654842e+00
7.896476038376700046e+01,1.028772292665654842e+00
7.896548174192787428e+01,1.028772292665654842e+00
7.896619758272164802e+01,1.028772292665654842e+00
7.896690790501097013e+01,1.028772292665654842e+00
7.896761270765848906e+01,1.028772292665654842e+00
7.896831198952685327e+01,1.028772292665654842e+00
7.896900574947868279e+01,1.028772292665654842e+00
7.896969398637664028e+01,1.028772292665654842e+00
7.897037669908337421e+01,1.028772292665654842e+00
7.897105388646151880e+01,1.028772292665654842e+00
7.897172554737372252e+01,1.028772292665654842e+00
7.897239168068263382e+01,1.028772292665654842e+00
7.897305228525087273e+01,1.028772292665654842e+00
7.897370735994111612e+01,1.028772292665654842e+00
7.897435690361599825e+01,1.028772292665654842e+00
7.897500091513815335e+01,1.028772292665654842e+00
7.897563939337022987e+01,1.028772292665654842e+00
7.897627233717487627e+01,1.028772292665654842e+00
7.897689974541472679e+01,1.028772292665654842e+00
7.897752161695244411e+01,1.028772292665654842e+00
7.897813795065066245e+01,1.028772292665654842e+00
7.897874874537201606e+01,1.028772292665654842e+00
7.897935399997915340e+01,1.028772292665654842e+00
7.897995371333473713e+01,1.028772292665654842e+00
7.898054788430138728e+01,1.028772292665654842e+00
7.898113651174176653e+01,1.028772292665654842e+00
7.898171959451850910e+01,1.028772292665654842e+00
7.898229713149426345e+01,1.028772292665654842e+00
7.898286912153166384e+01,1.028772292665654842e+00
7.898343556349337291e+01,1.028772292665654842e+00
7.898399645624201071e+01,1.028772292665654842e+00
7.898455179864023989e+01,1.028772292665654842e+00
7.898510158955070892e+01,1.028772292665654842e+00
7.898564582783603782e+01,1.028772292665654842e+00
7.898618451235888926e+01,1.028772292665654842e+00
7.898671764198191170e+01,1.028772292665654842e+00
7.898724521556773936e+01,1.028772292665654842e+00
7.898776723197902072e+01,1.028772292665654842e+00
7.898828369007839001e+01,1.028772292665654842e+00
7.898879458872849568e+01,1.028772292665654842e+00
7.898929992679200041e+01,1.028772292665654842e+00
7.898979970313152421e+01,1.028772292665654842e+00
7.899029391660971555e+01,1.028772292665654842e+00
7.899078256608923709e+01,1.028772292665654842e+00
7.899126565043270887e+01,1.028772292665654842e+00
7.899174316850279354e+01,1.028772292665654842e+00
7.899221511916212535e+01,1.028772292665654842e+00
7.899268150127335275e+01,1.028772292665654842e+00
7.899314231369910999e+01,1.028772292665654842e+00
7.899359755530205973e+01,1.028772292665654842e+00
7.899404722494482201e+01,1.028772292665654842e+00
7.899449132149007369e+01,1.028772292665654842e+00
7.899492984380042060e+01,1.028772292665654842e+00
7.899536279073853962e+01,1.028772292665654842e+00
7.899579016116705077e+01,1.028772292665654842e+00
7.899621195394861672e+01,1.028772292665654842e+00
7.899662816794587172e+01,1.028772292665654842e+00
7.899703880202146422e+01,1.028772292665654842e+00
7.899744385503804267e+01,1.028772292665654842e+00
7.899784332585824131e+01,1.028772292665654842e+00
7.899823721334470861e+01,1.028772292665654842e+00
7.899862551636007879e+01,1.028772292665654842e+00
7.899900823376701453e+01,1.028772292665654842e+00
7.899938536442815007e+01,1.028772292665654842e+00
7.899975690720613386e+01,1.028772292665654842e+00
7.900012286096360015e+01,1.028772292665654842e+00
7.900048322456321159e+01,1.028772292665654842e+00
7.900083799686758823e+01,1.028772292665654842e+00
7.900118717673939273e+01,1.028772292665654842e+00
7.900153076304127353e+01,1.028772292665654842e+00
7.900186875463585068e+01,1.028772292665654842e+00
7.900220115038578683e+01,1.028772292665654842e+00
7.900252794915371624e+01,1.028772292665654842e+00
7.900284914980230155e+01,1.028772292665654842e+00
7.900316475119416282e+01,1.028772292665654842e+00
7.900347475219196269e+01,1.028772292665654842e+00
7.900377915165833542e+01,1.028772292665654842e+00
7.900407794845592946e+01,1.028772292665654842e+00
7.900437114144737905e+01,1.028772292665654842e+00
7.900465872949534685e+01,1.028772292665654842e+00
7.900494071146246711e+01,1.028772292665654842e+00
7.900521708621137407e+01,1.028772292665654842e+00
7.900548785260473039e+01,1.028772292665654842e+00
7.900575300950517033e+01,1.028772292665654842e+00
