# Count, Count uncertainty, Sky count
4.950232797980367749e+00,2.813462455021237574e+01,1.122372039474544727e+04
-3.156959014219682835e+00,2.808384770676154574e+01,1.123963053998359464e+04
-1.413954489519431812e+00,2.801730862428550850e+01,1.122488394483430420e+04
9.802524627655464506e-01,2.812017867066138166e+01,1.123217989696048971e+04
-2.205976373249862288e+00,2.808941316071840077e+01,1.123842021944954104e+04
-9.045640477113512379e-01,2.808738510575054192e+01,1.123232886827609036e+04
-1.112605015761792604e+00,2.808869020961571294e+01,1.123481837413215544e+04
4.383105605877417599e-01,2.810529913827954474e+01,1.122362389783396975e+04
7.926019112009804468e-01,2.809062399330458604e+01,1.122383142999869597e+04
2.923939547746861489e+00,2.726956694764465183e+01,1.123605298509102795e+04
-2.829689432498980750e-01,3.009309627719090230e+01,1.122104912506284018e+04
2.454500570526080949e+00,2.813912902106234526e+01,1.123829281238196563e+04
-4.203933717814529736e+00,2.723991254359049918e+01,1.124076564166914795e+04
3.556255139732290349e+00,2.810533011382072033e+01,1.121030192417434773e+04
1.744383751067890564e+00,2.813476444291857703e+01,1.123827306442978806e+04
2.121321814992254140e+00,2.810660030175071000e+01,1.122502061609389966e+04
1.047445829150703833e+00,2.811834544862109198e+01,1.123840472131107163e+04
-5.182844672904618477e+00,2.807354792144601419e+01,1.124079164295132978e+04
-3.308680480883717578e+00,2.808369656986088714e+01,1.123217832962630928e+04
-2.230369319997139055e+00,2.811040798760194903e+01,1.123815430168357307e+04
3.296332051760179738e+00,2.726703414124600755e+01,1.122745914008225009e+04
-7.625549438406276082e-01,2.810610211774542222e+01,1.124203235323806257e+04
-4.641758171162795321e+00,2.801789752101201714e+01,1.123198056915096095e+04
-4.480828799650251604e+00,2.806298714814305129e+01,1.123474992441322320e+04
-1.531684528527480715e+00,2.810591335061069529e+01,1.123946451647835966e+04
-1.578476214122459975e+00,2.810135237185723511e+01,1.123337390285115544e+04
-2.608082170589922644e+00,2.802195490319720150e+01,1.123585156643537084e+04
1.978128456169451654e+00,2.803195859286808655e+01,1.122505800255335998e+04
-9.763490312317634201e-01,2.727614230719641952e+01,1.123223045829148577e+04
6.201719290329678058e-01,2.803945260013773222e+01,1.123596515455728149e+04
-3.071809393295242607e+00,2.807575833710561852e+01,1.124100502794683962e+04
