# Flux, Flux Uncertainty, Sky Flux
4.138999927251728888e-10,1.376096081318085987e-09,1.018507163099393081e-06
1.291732618157741960e-11,7.725102378548141878e-10,5.732409792663337022e-07
4.589712762873841994e-11,4.491618780409817214e-10,3.328279888614765038e-07
3.716275492139683090e-11,2.703690040848307705e-10,2.004498650329757718e-07
1.780655011438607677e-12,1.678050063383917427e-10,1.245215332277194163e-07
2.548645872938608653e-12,1.074911065786088065e-10,7.972496314121065496e-08
2.316826317526336563e-12,7.098860624622512273e-11,5.264627277182422457e-08
7.415494014625372562e-12,4.829910253208680719e-11,3.579035271264042798e-08
2.291959921107128717e-12,3.375910535418776065e-11,2.503016861522173853e-08
2.872879241960713763e-12,2.426589554791170306e-11,1.799132973783712684e-08
2.320774982739538080e-12,1.787508881352504525e-11,1.324175608073028870e-08
2.452003887883043063e-12,1.352895681608249572e-11,1.002910927385511554e-08
1.766635914286719961e-20,1.046018408665745384e-11,7.763839755668821214e-09
1.298404496190361703e-12,8.281719467354210539e-12,6.133560087857219488e-09
7.207121948779878108e-13,6.706255256618516263e-12,4.974650640059056909e-09
6.388937548828523670e-13,5.535636650362100043e-12,4.103039654122171679e-09
5.287146281300287389e-13,4.664472953348179432e-12,3.459581681266165568e-09
2.243661893931213277e-13,3.998258499197796680e-12,2.965658027576577926e-09
2.002636053797126789e-13,3.488802172708245910e-12,2.587166874924707650e-09
1.870006413511058990e-13,3.096165846988347018e-12,2.297096610402612227e-09
5.201068632880646212e-13,2.788499275410159272e-12,2.065371664123663917e-09
7.385013131072096738e-14,2.546674870267858123e-12,1.890015243357513643e-09
3.298618543196244899e-15,2.354995052452624779e-12,1.747616187037227844e-09
9.453168319505277757e-15,2.204264831837415266e-12,1.635114147577498625e-09
1.643546836239127382e-13,2.088021390857439083e-12,1.549004938189005312e-09
1.859431714120521958e-13,1.994241386941408513e-12,1.478452251716374223e-09
7.955981214093633663e-15,1.921379829160278575e-12,1.425624776349996972e-09
3.286571100179490851e-13,1.866933539475104168e-12,1.383102935145735013e-09
1.750860577685965193e-15,1.823170420794102067e-12,1.353043899385977540e-09
1.433898958058600453e-13,1.791325494352188723e-12,1.328529650719176937e-09
9.157403396126005702e-16,1.765171048129757399e-12,1.309306067112107102e-09
4.700931679552914578e-13,1.748302831657653580e-12,1.294088199496372811e-09
2.284786117122327550e-13,1.731244255089687982e-12,1.282706040410288561e-09
1.635372949719491957e-14,1.716944255122775762e-12,1.274097999962223445e-09
3.552355593684079705e-13,1.703675268808133431e-12,1.262343814831869691e-09
1.490736168984951734e-13,1.684714173748461581e-12,1.248805805654643330e-09
4.347813077459898006e-13,1.664554343532507736e-12,1.232306816072129508e-09
5.799143210785318459e-14,1.636225884190309647e-12,1.214064829541654314e-09
3.775597530248314950e-13,1.602918131554445815e-12,1.187477149569649194e-09
2.006054234872895167e-13,1.557111307505221904e-12,1.153485345275308207e-09
2.034922745466768777e-13,1.504828559154876896e-12,1.115413513731655244e-09
3.697167308650384986e-13,1.441454470657895149e-12,1.066838806407099942e-09
1.081096472834956067e-13,1.367451169913254909e-12,1.014240424837127037e-09
3.971995883855912344e-13,1.285171754126990541e-12,9.514736457000032757e-10
3.514839268621818849e-15,1.190727918953160412e-12,8.838500451611850315e-10
1.785577716673979933e-14,1.090600072776289370e-12,8.093920613159427240e-10
1.605739498261391455e-13,9.863971534554493549e-13,7.308089872468813575e-10
9.523536253792564781e-14,8.820873664771368138e-13,6.544691052788970329e-10
6.562598650096348976e-14,7.795260138266958517e-13,5.784553600338666309e-10
6.980856810912636043e-14,6.820003340309029759e-13,5.058439925828505482e-10
3.170427416663501101e-13,5.922489043174283095e-13,4.374725701849757956e-10
2.401689791920433419e-13,5.096662753324993015e-13,3.769094112340797538e-10
2.475324312724832705e-14,4.346887072333606315e-13,3.227395083105204633e-10
1.109443978703309906e-13,3.691425571614411472e-13,2.733440933332995682e-10
8.647606870623164032e-14,3.118063560927439264e-13,2.310341589215798716e-10
7.570984426790022074e-14,2.620483254807304943e-13,1.940710290450776739e-10
1.279213080195537701e-13,2.199245726747761650e-13,1.625225557768957147e-10
8.786028139504836156e-14,1.838419795915107073e-13,1.360346713362364686e-10
1.211252755447704366e-13,1.538225909755355822e-13,1.136460762907129878e-10
1.426950957910740512e-13,1.285794986532009072e-13,9.477652267819961020e-11
1.742129631177294246e-13,1.076177633028541574e-13,7.902063557300395976e-11
1.495555623403142155e-13,9.001940419363917254e-14,6.610140892879588149e-11
1.746054651315361593e-13,7.579495465685619276e-14,5.546442346198438742e-11
1.865358601405894718e-13,6.394127099165619453e-14,4.657560150470617264e-11
1.773882786958580506e-13,5.414499489642672849e-14,3.936251521856261617e-11
1.828957436752228271e-13,4.617422958775065875e-14,3.342273208365702075e-11
2.273400551704122218e-13,3.987007085649254896e-14,2.853766855230611400e-11
2.452902947410782678e-13,3.459852169782175002e-14,2.455442154604968588e-11
2.489669903688666110e-13,3.016744821386744056e-14,2.122968533592239241e-11
3.003610927235339577e-13,2.684364442206169042e-14,1.855146449647202821e-11
