# Pixel positions of the trace in the spatial direction, Width of the trace
8.262545463983909144e+01,1.200440140303409731e+00
8.262538931195483372e+01,1.200440140303409731e+00
8.262531881070071904e+01,1.200440140303409731e+00
8.262524314099094624e+01,1.200440140303409731e+00
8.262516230773968573e+01,1.200440140303409731e+00
8.262507631586113632e+01,1.200440140303409731e+00
8.262498517026948264e+01,1.200440140303409731e+00
8.262488887587893771e+01,1.200440140303409731e+00
8.262478743760367195e+01,1.200440140303409731e+00
8.262468086035788417e+01,1.200440140303409731e+00
8.262456914905575900e+01,1.200440140303409731e+00
8.262445230861150947e+01,1.200440140303409731e+00
8.262433034393929177e+01,1.200440140303409731e+00
8.262420325995331893e+01,1.200440140303409731e+00
8.262407106156777559e+01,1.200440140303409731e+00
8.262393375369686055e+01,1.200440140303409731e+00
8.262379134125475844e+01,1.200440140303409731e+00
8.262364382915565386e+01,1.200440140303409731e+00
8.262349122231374565e+01,1.200440140303409731e+00
8.262333352564323263e+01,1.200440140303409731e+00
8.262317074405828521e+01,1.200440140303409731e+00
8.262300288247311641e+01,1.200440140303409731e+00
8.262282994580189666e+01,1.200440140303409731e+00
8.262265193895883897e+01,1.200440140303409731e+00
8.262246886685811376e+01,1.200440140303409731e+00
8.262228073441391984e+01,1.200440140303409731e+00
8.262208754654044185e+01,1.200440140303409731e+00
8.262188930815189281e+01,1.200440140303409731e+00
8.262168602416244312e+01,1.200440140303409731e+00
8.262147769948629161e+01,1.200440140303409731e+00
8.262126433903762290e+01,1.200440140303409731e+00
8.262104594773062161e+01,1.200440140303409731e+00
8.262082253047950076e+01,1.200440140303409731e+00
8.262059409219844497e+01,1.200440140303409731e+00
8.262036063780162465e+01,1.200440140303409731e+00
8.262012217220325283e+01,1.200440140303409731e+00
8.261987870031752834e+01,1.200440140303409731e+00
8.261963022705860737e+01,1.200440140303409731e+00
8.261937675734070297e+01,1.200440140303409731e+00
8.261911829607801394e+01,1.200440140303409731e+00
8.261885484818471070e+01,1.200440140303409731e+00
8.261858641857500629e+01,1.200440140303409731e+00
8.261831301216307111e+01,1.200440140303409731e+00
8.261803463386310398e+01,1.200440140303409731e+00
8.261775128858930373e+01,1.200440140303409731e+00
8.261746298125585497e+01,1.200440140303409731e+00
8.261716971677694232e+01,1.200440140303409731e+00
8.261687150006676461e+01,1.200440140303409731e+00
8.261656833603952066e+01,1.200440140303409731e+00
8.261626022960938087e+01,1.200440140303409731e+00
8.261594718569054407e+01,1.200440140303409731e+00
8.261562920919720909e+01,1.200440140303409731e+00
