# Count, Count Uncertainty, Sky Count
3.109144343862472668e-02,3.081789622364813352e-01,2.282360415540711926e+02
1.385469670155985329e-02,3.079999466170490474e-01,2.281364814791797926e+02
1.763054118066281588e-03,3.079796855825595592e-01,2.282168913103471652e+02
1.411660536431950073e-02,3.080150458470333752e-01,2.281561942856397707e+02
2.625660694322879719e-03,3.080364856876957602e-01,2.282967998186200305e+02
2.366107689749721160e-02,3.080992879789036798e-01,2.281882608570292632e+02
5.297374840954356158e-03,3.080081757170946011e-01,2.282279417675578088e+02
2.248076504693162503e-02,3.081306461585648915e-01,2.282469356422679994e+02
9.692778808826969794e-03,3.081469099449301585e-01,2.283897297163433677e+02
3.409447558405094374e-05,3.082128282463354463e-01,2.285993496226588206e+02
1.888635330675531715e-02,3.081082919971805945e-01,2.282516822615583862e+02
3.429728794791275098e-02,3.082267625550002554e-01,2.282801622279772005e+02
1.714463997360466882e-02,3.081582798956339908e-01,2.283404931691234481e+02
2.975592923933310582e-02,3.081744998694844750e-01,2.282450391475029505e+02
8.936642893948709015e-05,3.081340837606449390e-01,2.284613068894590242e+02
7.618743134039726453e-04,3.079968321420072375e-01,2.282535492552297853e+02
1.950939664321749145e-02,3.080812884400929708e-01,2.282089026680759503e+02
2.166232160664173859e-02,3.080915771799776492e-01,2.281988318392630504e+02
3.793485283308095386e-03,3.080293160669741459e-01,2.282794686213958926e+02
4.483641691050287321e-03,3.080260587697749575e-01,2.282633049256966729e+02
2.706833985449337912e-02,3.081805110251982227e-01,2.282862983270043742e+02
1.096256798025947200e-02,3.081503480912641257e-01,2.283892913819184400e+02
1.012669075018375782e-02,3.080540555413013859e-01,2.282557247559345512e+02
2.052927420816132512e-02,3.081149762271283565e-01,2.282449057909678061e+02
4.868825274332240494e-02,3.082695023910752563e-01,2.282089221340217478e+02
1.247151852788532141e-02,3.080924662025259497e-01,2.282833380933330147e+02
1.485157472161957419e-02,3.082067449704841144e-01,2.284390974263547776e+02
2.486359600802900624e-02,3.081229685807019281e-01,2.282152351191776916e+02
4.532008759491252398e-02,3.082455816927361925e-01,2.282113212590752198e+02
2.501647884085352741e-02,3.081505829381710471e-01,2.282557142890402417e+02
2.046482227746196023e-02,3.080740170931990929e-01,2.281854501191012901e+02
5.320102784985652165e-03,3.081139375816979165e-01,2.283858884164188794e+02
7.540338073789920083e-03,3.081384302889101923e-01,2.284026582019784257e+02
7.257977870306396052e-03,3.080828821822880204e-01,2.283270169095679876e+02
2.540563225368895964e-02,3.081918363022769225e-01,2.283163445174923254e+02
3.752317651388684984e-03,3.080375002562503739e-01,2.282922849278846797e+02
8.834147818569249152e-04,3.080313846525660204e-01,2.283088936467738961e+02
8.314600461512836526e-04,3.080923976447619284e-01,2.283972771929879571e+02
3.658966227231093358e-03,3.080109454163063587e-01,2.282512774064639416e+02
1.072290697371554649e-02,3.080641363780479147e-01,2.282667196451598386e+02
7.817680429882624751e-03,3.080496025589055664e-01,2.282713768501009213e+02
3.212750494410372692e-02,3.082060955629200572e-01,2.282729107967554114e+02
2.900118785482556916e-02,3.082159608864045719e-01,2.283139587457716289e+02
3.536420477415094191e-03,3.080173791414994033e-01,2.282609341165832575e+02
1.001211242022743801e-02,3.081311332021764993e-01,2.283817306756765788e+02
1.523022551407727729e-02,3.081441872047540609e-01,2.283426515959306471e+02
1.372978835172195509e-02,3.080766169490951611e-01,2.282514481177425409e+02
2.131920395183710404e-02,3.081413642169508749e-01,2.282728687261252389e+02
2.384994315647138985e-02,3.082372223024633651e-01,2.283929297477392879e+02
1.148734781135765312e-02,3.081126712454891892e-01,2.283237586520400271e+02
1.846926963601013341e-02,3.080984258399707687e-01,2.282430549727552886e+02
2.820033583128313259e-02,3.082321716006984902e-01,2.283478906846048631e+02
5.907875842544404316e-02,3.083480617289514614e-01,2.282300258517211660e+02
6.852299177186298162e-02,3.084695587848382825e-01,2.283240651875090350e+02
2.227792111047797313e-02,3.082811847958883411e-01,2.284765182593665998e+02
2.597795068873273022e-02,3.081629661110498186e-01,2.282703581940610036e+02
1.974684176981908110e-02,3.081357723796235293e-01,2.282863765094960513e+02
1.766392264064631581e-02,3.081330000579652895e-01,2.283060138923056286e+02
3.824333872313406130e-02,3.082555594813415900e-01,2.282900464045573301e+02
2.802095864560638291e-02,3.081171753791421275e-01,2.281823545511793156e+02
2.434238215723495691e-02,3.081812927793727841e-01,2.283089595094936897e+02
1.510160479439637445e-02,3.080928758373567833e-01,2.282744907725010250e+02
3.866399625947744990e-03,3.081480713776306724e-01,2.284534093684829372e+02
2.694841051947204687e-03,3.079469944337668297e-01,2.281620804721963225e+02
6.879497410871348272e-03,3.081252457535624267e-01,2.283942963142076792e+02
7.834564793595370433e-03,3.080255470198439705e-01,2.282318358130230251e+02
3.864029222858194473e-02,3.082162883325904046e-01,2.282266777351105418e+02
1.789153701037764568e-02,3.081612633523533318e-01,2.283467398284434182e+02
1.430074974472452963e-03,3.080796912738827387e-01,2.283739471565464214e+02
4.550051104371739125e-02,3.082668044011728226e-01,2.282367204519337349e+02
1.759767119845179542e-02,3.081160474849173880e-01,2.282865943179984924e+02
4.931816928029633673e-02,3.082502330190818873e-01,2.281810810739718818e+02
3.894290461573300319e-03,3.080916088747261417e-01,2.283716621214730083e+02
5.392000607969380660e-02,3.083560516676239205e-01,2.283018726539004604e+02
9.640287334609788650e-03,3.081172019711767573e-01,2.283577209762614189e+02
8.837233834075893316e-03,3.081136385016661761e-01,2.283598504037159671e+02
3.125122246677592558e-02,3.082516826602618165e-01,2.283548474882441042e+02
4.511148535253919900e-02,3.081898505784080311e-01,2.281278238686075497e+02
1.999032984835152210e-02,3.081445025000145166e-01,2.283013080031819584e+02
9.095300385526545323e-03,3.080825138932639096e-01,2.283081611828959581e+02
1.270816083472106096e-02,3.081833450462317381e-01,2.284175602926853799e+02
2.274749307208233720e-02,3.081728464056828209e-01,2.283137803963691113e+02
3.970735196132926109e-02,3.082069136249939167e-01,2.282079477250454431e+02
2.809450519121702711e-02,3.081183965928724344e-01,2.281881709669787313e+02
2.210410597956950340e-03,3.079923324322879075e-01,2.282420192044945111e+02
2.513733076449971640e-02,3.081623018501673528e-01,2.282796424301327249e+02
5.425258513803850671e-03,3.081022154573197502e-01,2.283756582674182027e+02
2.528585570981318684e-02,3.082465619526404410e-01,2.283989246130669812e+02
2.266712778221065001e-03,3.080476162747179392e-01,2.283255841158963619e+02
8.383494731007022291e-03,3.080842125764117756e-01,2.283240255118498965e+02
1.250359388065364237e-02,3.081357538203189916e-01,2.283624238477768529e+02
9.272423812358532996e-03,3.080474288956024931e-01,2.282556142256250951e+02
2.168840971327765446e-02,3.081274718370380916e-01,2.282582384409392944e+02
5.271386881477112089e-03,3.080896702817810251e-01,2.283556397649419978e+02
1.359659618406908708e-02,3.081380232828794252e-01,2.283571746985464586e+02
1.147868015168821559e-02,3.080299720963077803e-01,2.282112164131391978e+02
2.807966815782326087e-03,3.081365607870108492e-01,2.284589646132732241e+02
2.547572156270866070e-02,3.082326895722819482e-01,2.283796908808222099e+02
4.609507733524563673e-03,3.080599607111523808e-01,2.283196314114792358e+02
1.943412937501462143e-02,3.081723831611969389e-01,2.283512603245905552e+02
3.221640132760506675e-02,3.081851854687052139e-01,2.282436186607164359e+02
4.121371985390296679e-03,3.081021945962143516e-01,2.283947670782602017e+02
1.432404206699913578e-02,3.080982374495879750e-01,2.282820782221336628e+02
3.245391599628406204e-02,3.082263568718976443e-01,2.283016597322250902e+02
1.978929344932566642e-02,3.081893574317923767e-01,2.283742613853536909e+02
4.275587515803239147e-02,3.083005181079540580e-01,2.283137307076414402e+02
7.808498928652984027e-03,3.081353208397462629e-01,2.283936352016712021e+02
5.394621381349918275e-03,3.080265061875592791e-01,2.282576456992170790e+02
