# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
8.148464684163785418e+30,8.076773261245829982e+31,5.981624262404946462e+34,2.620806171398589083e+32
1.185783189206723403e+29,2.636081949985567047e+30,1.952553783095991200e+33,8.558709113229596264e+30
5.325706288118173542e+26,9.303227458035590681e+28,6.893810692773098315e+31,3.020727630277968948e+29
1.625056701408159139e+26,3.545766857331085397e+27,2.626458294490503463e+30,1.151166770954424831e+28
1.242571378638803146e+24,1.457756219299766319e+26,1.080395002685620391e+29,4.732414136089448179e+26
4.961066099447525204e+23,6.459980412040075649e+24,4.784469659322402470e+27,2.096720331428486219e+25
5.298691954262141829e+21,3.080847573597617568e+23,2.282846872440128092e+26,1.000248635097067968e+24
1.153967615361808073e+21,1.581675651274260873e+22,1.171621924284546631e+25,5.133133204998785597e+22
2.744169188225989837e+19,8.724095250660758651e+20,6.466051393064853958e+23,2.831148056042446782e+21
5.716516391611754000e+15,5.167710177655278797e+19,3.832855343406482719e+22,1.676669399861918761e+20
2.011803168583194880e+17,3.282016533519858688e+18,2.431371743130532446e+21,1.065215256702630912e+19
2.487673544178480000e+16,2.235650713783390720e+17,1.655776751496383693e+20,7.253266054028839680e+17
9.067062879912617500e+14,1.629716637433691600e+16,1.207594684275777126e+19,5.288570010144262400e+16
1.227518052204472031e+14,1.271308849998311000e+15,9.415767312328627200e+17,4.125288920844279000e+15
3.073691623987332916e+10,1.059804183248078438e+14,7.857756136443870400e+16,3.439425364158423750e+14
2.333033542726408005e+10,9.431568013236960938e+12,6.989646156720378000e+15,3.062228902694808984e+13
5.674913029298657990e+10,8.961499680512242432e+11,6.638163644098381250e+14,2.908810114981982910e+12
6.380146302019034386e+09,9.074139755294583130e+10,6.721079852484237500e+13,2.945273557411713867e+11
1.204798177818352580e+08,9.782907563793050766e+09,7.250079209179375977e+12,3.175966394596666718e+10
1.633824289708750509e+07,1.122436830056831121e+09,8.317839777010305176e+11,3.643967119339612484e+09
1.203073191855915636e+07,1.369731993391257823e+08,1.014636017803838501e+11,4.444576942372784615e+08
6.311987104077211116e+05,1.774256749669821560e+07,1.315011468579172325e+10,5.757763249854724109e+07
8.015357678603583190e+04,2.438272778758588713e+06,1.806662532944937944e+09,7.915080924593394622e+06
2.368210425392618345e+04,3.554344354904678185e+05,2.632981370681092143e+08,1.153577277686293703e+06
8.670904218031697383e+03,5.489979980725239147e+04,4.064178922082485259e+07,1.780902728989573952e+05
3.628844842964556960e+02,8.964584021067405047e+03,6.642373278943368234e+06,2.909705690490495545e+04
7.465514683916354954e+01,1.549278122615333814e+03,1.148306134658206487e+06,5.026749569558261101e+03
2.281042789389145398e+01,2.826790121184503164e+02,2.093698418882150436e+05,9.174227206123146061e+02
8.009437639329906489e+00,5.447636787983812212e+01,4.033188025918188941e+04,1.767304095023200716e+02
8.981627747737656042e-01,1.106348276992199153e+01,8.195029644580370586e+03,3.590284549986338192e+01
1.572704801806562303e-01,2.367523545649866445e+00,1.753586462853999137e+03,7.684917955718541194e+00
9.212555503364357884e-03,5.335454719676414603e-01,3.954844028877370761e+02,1.731649908976185870e+00
3.094572784612247430e-03,1.264607489655863171e-01,9.373699734522381277e+01,4.104023923501423643e-01
7.418624524658127889e-04,3.149019280887388472e-02,2.333807621840882263e+01,1.022133803274458130e-01
6.790528151991583701e-04,8.237485765860898257e-03,6.102538797398835868e+00,2.672843597901635587e-02
2.751233232900717845e-05,2.258558806637857123e-03,1.673859676768009397e+00,7.332090426519517930e-03
1.862329128100062690e-06,6.493618080531233204e-04,4.812986057907600035e-01,2.108102746691055060e-03
