# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
1.178721436548516138e+29,2.620868875338570425e+30,1.941285585638057367e+33,8.509316124038886461e+30
5.287526715870465850e+26,9.210904299445379144e+28,6.825397017807773741e+31,2.990750465266410775e+29
1.600953949117258227e+26,3.494949809186077492e+27,2.588817430072165596e+30,1.134668486056361186e+28
1.227741018672471833e+24,1.430077738019717792e+26,1.059880849352588545e+29,4.642558732010662380e+26
4.837980170928790910e+23,6.305701770426685732e+24,4.670208613965298282e+27,2.046646747317585043e+25
5.171962554798136361e+21,2.991483492415526299e+23,2.216628736688525103e+26,9.712344691059792250e+23
1.113008763871034212e+21,1.527340169405880127e+22,1.131374410163735554e+25,4.956793558295637079e+22
2.627776948857915392e+19,8.375914136649793536e+20,6.208000884414321713e+23,2.718154613134624555e+21
1.524882449120687400e+16,4.931698771992810291e+19,3.657793262873872223e+22,1.600096994828443320e+20
1.914149703299558400e+17,3.112610795258484224e+18,2.305870808560923836e+21,1.010231180563540992e+19
2.338373759183876400e+16,2.106551773373958400e+17,1.560166625678533591e+20,6.834429339484448000e+17
8.522566112648813750e+14,1.525354317590172000e+16,1.130260748894526054e+19,4.949903839572069600e+16
1.133152488775755625e+14,1.181701681845422000e+15,8.752169740791217920e+17,3.834524761913390500e+15
3.011031055782780838e+10,9.781226898156457812e+13,7.252113727755342400e+16,3.174352650741793750e+14
2.642402473877446365e+10,8.641415894294204102e+12,6.404042992586590000e+15,2.805675984376805859e+13
5.167151677649342346e+10,8.149580693900393066e+11,6.036735494208373750e+14,2.645268617368360352e+12
5.695940808261132240e+09,8.189232488167675781e+10,6.065686251742718750e+13,2.658058417817465820e+11
1.081851320666850209e+08,8.760474727201314926e+09,6.492351829068181641e+12,2.844039729834414673e+10
1.579090148533910140e+07,9.972171712904552221e+08,7.389845425800083008e+11,3.237415861695194244e+09
1.047663994832762517e+07,1.207185541559835374e+08,8.942387360460989380e+10,3.917145523548626900e+08
5.508325618637268199e+05,1.551054121133878268e+07,1.149575008823908806e+10,5.033469039935021847e+07
7.136630662526408560e+04,2.114171734410853125e+06,1.566506587031279564e+09,6.862953955447466113e+06
2.119603773840439680e+04,3.056616596470967052e+05,2.264231044572656751e+08,9.920228667711421149e+05
7.209800217768715811e+03,4.682132506969142560e+04,3.466242419385305792e+07,1.518873279279682320e+05
3.091698044638241640e+02,7.582660911816265070e+03,5.618493960350459442e+06,2.461129267494426676e+04
6.443684337235822568e+01,1.299638538388730240e+03,9.632470549542768858e+05,4.216824284185491706e+03
1.973086216243578406e+01,2.351980644968400611e+02,1.741989847364473972e+05,7.633106902943395653e+02
6.450148858994957379e+00,4.495722736520867358e+01,3.328523510018111119e+04,1.458511586375542208e+02
7.272334730529980140e-01,9.057261016983645163e+00,6.708941324912849268e+03,2.939276206894204790e+01
1.213849707579335163e-01,1.923013482526684248e+00,1.424416751903611384e+03,6.241995822013036488e+00
7.656936279262214519e-03,4.300360555387141015e-01,3.187591020061052518e+02,1.395696355142035161e+00
2.467832981031179568e-03,1.011614901072552392e-01,7.498338990087441402e+01,3.283037513819919151e-01
7.243552532616145739e-04,2.500886618521232577e-02,1.853394105456459329e+01,8.117313849297538852e-02
4.892598073830692817e-04,6.495831086009184671e-03,4.812469564472367622e+00,2.107830239586299878e-02
1.971262692997280687e-05,1.769230894291733873e-03,1.311223268845435941e+00,5.743569575597903126e-03
1.439158920477235492e-06,5.054679642341026145e-04,3.746550293717801905e-01,1.640922678403768011e-03
5.950931363972414164e-07,1.513065090183252157e-04,1.121619774347773213e-01,4.911250315728848482e-04
7.228650245135919316e-07,4.739246292147131402e-05,3.511960603265623648e-02,1.538622561307640844e-04
5.170629812318817939e-07,1.553047969536781086e-05,1.150776641521314772e-02,5.041351947900552714e-05
2.083165979149089720e-07,5.317839219980344290e-06,3.940287788371027097e-03,1.726139830997508329e-05
1.945946787959003737e-07,1.901963314139106815e-06,1.408729095934770602e-03,6.171038714313344078e-06
5.467752420718253385e-08,7.093012121877625159e-07,5.254663431180170039e-04,2.301617840118798950e-06
4.455551957215625302e-09,2.756454980603512936e-07,2.042785388790177277e-04,8.948287906331884991e-07
4.082462713938262999e-09,1.116496295853662733e-07,8.274862199683034446e-05,3.623408352199431812e-07
2.266137717311343274e-09,4.704709772982419954e-08,3.486146529390482269e-05,1.526875126079045617e-07
1.059827138266721947e-09,2.061201469247479313e-08,1.527077900859892138e-05,6.690157006063147966e-08
6.722600547260321457e-10,9.385183683556473284e-09,6.953042884583320557e-06,3.045457008051622457e-08
