# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
8.859005971606968325e-19,8.781063099132171546e-18,6.503218350266757550e-15,2.849338915092464081e-17
7.616845913836507258e-19,1.693280037366538385e-17,1.254217587134974314e-14,5.497663411844268499e-17
1.821869008941171102e-19,3.182537840425026260e-17,2.358301298494717950e-14,1.033359662798892301e-16
2.672521396670131552e-18,5.831265940203677212e-17,4.319397583730593962e-14,1.893175680482700949e-16
8.880990355143951014e-19,1.041897402943129921e-16,7.721872371716549726e-14,3.382383098603009264e-16
1.395107721290322312e-17,1.816619325677798161e-16,1.345446811269716276e-13,5.896213969187058023e-16
5.315311526109941178e-18,3.090510782563811017e-16,2.290007118391683076e-13,1.003385957326809393e-15
3.749244011212101447e-17,5.138868616655883207e-16,3.806602910300368647e-13,1.667756414599347369e-15
2.625672235778610859e-17,8.347376969404837895e-16,6.186838512265167412e-13,2.708895237955370716e-15
1.466748579234784111e-19,1.325935419706884376e-15,9.834372446833571224e-13,4.302012434885241467e-15
1.262245012367906583e-16,2.059201946113812096e-15,1.525490616529896864e-12,6.683370748531023686e-15
3.485362511277516790e-16,3.132265165727229961e-15,2.319831004439994521e-12,1.016221024989128143e-14
2.594190732202890254e-16,4.662806305571893002e-15,3.455066960157540426e-12,1.513120564909395538e-14
6.568237828373595225e-16,6.802554850504232773e-15,5.038215033411070412e-12,2.207371100913668967e-14
2.820924648794761488e-18,9.726505157801169778e-15,7.211568589550919738e-12,3.156582043470597947e-14
3.372913721827456991e-17,1.363540840180985273e-14,1.010507264510657579e-11,4.427126184052118179e-14
1.188657022721435243e-15,1.877059520447529176e-14,1.390417754914353811e-11,6.092741074771658177e-14
1.783270382365638267e-15,2.536249782539098731e-14,1.878562351251517893e-11,8.232129569246546955e-14
4.144585694551730136e-16,3.365385131428354916e-14,2.494075366975047558e-11,1.092553518736062922e-13
6.389359581781952800e-16,4.389488245609943406e-14,3.252838730194281396e-11,1.425037953977373608e-13
