# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
1.267857249211789510e-13,3.833317824971658284e-13,4.462674446603768488e-10,3.985086985881459183e-13
1.760697096712150142e-14,4.347269603103880123e-13,5.071285462071657932e-10,4.520928147867113726e-13
1.371278475907395440e-13,4.902090352345077400e-13,5.710524133122256540e-10,5.094999422496156063e-13
1.279793696391480507e-17,5.484986418576196337e-13,6.399894839568924300e-10,5.704685123459601698e-13
4.242635885938855510e-14,6.101892965509593117e-13,7.115462764284701321e-10,6.346528733213565714e-13
1.254406125436885243e-13,6.750581910410742906e-13,7.869863602919575398e-10,7.016259567457324091e-13
1.493249677519954883e-13,7.414548160280564653e-13,8.640038203049520981e-10,7.708846930325066733e-13
7.001628903527891381e-14,8.096566647972076848e-13,9.443071782266689751e-10,8.418580969627897138e-13
2.822739100841031073e-14,8.786935557307772534e-13,1.024985717479783492e-09,9.139178178483030162e-13
1.748321917166227425e-13,9.489478361367773449e-13,1.106200410494377864e-09,9.863908304305423743e-13
7.109098004080594777e-14,1.017553309890639507e-12,1.186315136406570622e-09,1.058573839213612879e-12
2.850429063345782348e-13,1.087094480467298851e-12,1.266724955942450085e-09,1.129748887039101134e-12
7.025877220713368374e-14,1.152405797924487655e-12,1.343257219703359378e-09,1.199199603219313183e-12
1.588372374614610559e-13,1.217878920549297403e-12,1.420018385922303452e-09,1.266227500507316492e-12
6.854484972089024371e-15,1.279320622221134799e-12,1.493088285082558386e-09,1.330167734628931706e-12
1.761856865753299767e-13,1.337543161555621447e-12,1.559825926381138426e-09,1.390403774024202305e-12
5.147185101420414919e-13,1.391768928579371283e-12,1.620292802323328304e-09,1.446380487943944181e-12
2.845752319351350661e-16,1.440957943380709068e-12,1.682527951951838480e-09,1.497615243629097451e-12
3.316030401042253414e-13,1.485003292777699997e-12,1.730433112376307081e-09,1.543706702283915350e-12
1.672833358755085103e-13,1.523413288959975344e-12,1.776059354162052482e-09,1.584341112549324409e-12
7.455955313657945006e-13,1.558989276720919972e-12,1.814325660689488729e-09,1.619296012584557707e-12
7.064486076955395068e-13,1.587989544073387352e-12,1.849698037798570767e-09,1.648441361333514354e-12
9.238528146357299599e-14,1.607012584391357429e-12,1.873803065424024142e-09,1.671738220425938689e-12
4.264244069230741821e-13,1.624872526370197589e-12,1.892674120238618849e-09,1.689235195786413687e-12
1.868784105813675947e-13,1.636674754639783938e-12,1.909178362933028961e-09,1.701062918965511945e-12
