# Pesampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
6.528470462390784254e-14,4.568591573431139811e-13,5.326282345983786312e-10,4.749929290637904736e-13
4.638572099626815043e-14,5.287848361891967718e-13,6.166746583340953434e-10,5.498486692488480338e-13
5.404646162357399145e-14,6.170451255607448427e-13,7.195339271282605523e-10,6.416927064125544323e-13
1.358282635422471876e-13,7.039350420940628645e-13,8.204823658752350839e-10,7.317475813352880608e-13
9.480162206823816794e-14,7.883424081161084829e-13,9.192109907480701323e-10,8.196776813845885778e-13
5.795962659508541952e-14,8.873754415404276116e-13,1.034967625348795866e-09,9.228212344710362603e-13
1.302278730344302716e-13,9.784452785246939714e-13,1.140646342906375821e-09,1.017426461065557560e-12
2.149557160746194398e-13,1.064313917854301909e-12,1.240383999736980393e-09,1.106433092668280131e-12
1.023527101687215249e-13,1.156495166577226356e-12,1.348055060101844041e-09,1.203159279809271177e-12
1.003427949492113300e-13,1.241526328083579438e-12,1.448141202135309568e-09,1.290836532044024319e-12
1.114051727952931258e-13,1.315269144859608891e-12,1.534294313477807527e-09,1.367359458840972048e-12
4.244062876074175447e-13,1.387202701692429436e-12,1.615756597633770824e-09,1.441701231480215017e-12
9.984579730881629168e-14,1.454193573982999744e-12,1.696923456040291862e-09,1.511465730207768968e-12
2.456041236627192492e-13,1.505105678354053768e-12,1.754312216670523256e-09,1.564973264741944016e-12
5.974523228366569068e-13,1.549875962122683611e-12,1.804523181212589899e-09,1.610341798778562016e-12
5.988471776298333524e-13,1.590265008048070521e-12,1.852633749104235152e-09,1.651470569856561627e-12
2.230044959210402057e-13,1.613996351901594426e-12,1.881182208069291828e-09,1.678580057213240448e-12
2.822025717472805866e-13,1.631978213988434022e-12,1.902610717827079880e-09,1.696356232952100915e-12
9.976837037437794022e-14,1.640242747504711998e-12,1.912537967177307318e-09,1.706242751980750801e-12
6.737469095507282102e-14,1.642644052237482836e-12,1.916753846036473943e-09,1.707782629744849479e-12
1.134996994051959235e-13,1.637077852211895396e-12,1.910442589363504402e-09,1.701449705829194903e-12
2.294025950740808856e-13,1.625482159266691232e-12,1.896116217562426512e-09,1.689106658102724778e-12
2.480407104036719212e-13,1.607669066682640806e-12,1.874479552830703237e-09,1.671183018354692566e-12
8.990159938660576959e-14,1.582036786465424604e-12,1.845534977691645164e-09,1.645038845545054999e-12
2.413464977635911230e-13,1.556589506271316917e-12,1.814720302639013253e-09,1.618254909488999062e-12
1.345103479773009880e-13,1.527472291674730530e-12,1.780918160397479476e-09,1.588722276754430309e-12
1.593318259447797120e-13,1.498130393608989762e-12,1.747613963779717423e-09,1.557173632338608656e-12
1.009884623775328310e-13,1.462962333263895593e-12,1.707382843602874687e-09,1.520390660871618755e-12
1.247293823847903324e-13,1.429301302403211834e-12,1.667509755453191587e-09,1.485696477306979067e-12
2.392617079336054301e-13,1.397367644230744392e-12,1.629255908714981118e-09,1.452402780592442043e-12
1.661694766802561714e-13,1.366064939768526028e-12,1.593414891988073025e-09,1.419856630154310668e-12
4.324442575614997144e-13,1.336098920517699624e-12,1.556435844280004679e-09,1.388208471827882638e-12
3.061402552553678125e-13,1.304560113811986718e-12,1.521168552248172870e-09,1.355115553089827399e-12
2.561316773950136643e-13,1.278547863402305028e-12,1.490851721226984595e-09,1.328471473719349460e-12
1.634473665775927541e-13,1.254916384788974918e-12,1.463415657023124834e-09,1.304557956758599632e-12
1.548864759248466102e-13,1.234860530542894826e-12,1.440036442568801932e-09,1.283760753946304626e-12
5.283652121486454042e-13,1.219388000325620551e-12,1.419776296560802311e-09,1.266456238613666102e-12
3.532105005002954748e-14,1.204098000430283103e-12,1.405228817452447735e-09,1.251802751431616541e-12
2.044769734857950217e-13,1.196853051097048730e-12,1.395789717413245327e-09,1.243717625398932809e-12
2.598036629106334865e-13,1.193780477436102298e-12,1.391724997630437293e-09,1.240467211907610112e-12
1.035807950392626053e-13,1.194770961914428340e-12,1.393426387834555372e-09,1.242340205379963973e-12
2.631231232424884641e-13,1.202203015647835204e-12,1.401672398843878319e-09,1.249100834121571102e-12
3.488092856358648554e-14,1.212851534364110745e-12,1.415564068741915111e-09,1.260800301486555249e-12
4.838171562674285012e-14,1.228131932878476129e-12,1.432784736438611416e-09,1.277112762026203200e-12
1.455238418936920415e-13,1.245908849200436670e-12,1.452988234810784358e-09,1.295259839339072295e-12
2.156149934122775717e-13,1.265694050304738454e-12,1.475738222613154591e-09,1.315537756912137869e-12
2.555707691484524871e-13,1.287005648700247528e-12,1.500739785129144921e-09,1.337242535927225234e-12
2.692865335929451346e-13,1.307854740669549751e-12,1.524178368453307686e-09,1.359621637221430119e-12
3.681332379034733667e-13,1.330758450920055052e-12,1.551536649834871348e-09,1.382047335246247901e-12
3.703448853378312987e-14,1.351872211184350696e-12,1.577846791542380053e-09,1.405318953793546733e-12
2.739967418418876744e-13,1.369999129357818817e-12,1.596870641021295547e-09,1.424035652494767005e-12
2.811425590180093805e-13,1.385831517006160725e-12,1.616300998516454467e-09,1.439608520181874798e-12
2.890781782797805424e-13,1.396744681377016491e-12,1.628852136720469410e-09,1.451043827971780880e-12
